Year.CE,robust.biw.mean,40yr.cub.smooth
1608,NaN,NaN
1613,NaN,NaN
1618,NaN,NaN
1623,NaN,NaN
1628,0.829,0.929
1633,1.032,0.945
1638,0.934,0.956
1643,1.02,0.957
1648,1.026,0.948
1653,0.91,0.931
1658,0.806,0.913
1663,0.94,0.899
1668,0.951,0.89
1673,0.799,0.887
1678,0.893,0.894
1683,0.85,0.911
1688,0.834,0.939
1693,0.897,0.969
1698,1.344,0.99
1703,1.052,0.989
1708,0.905,0.969
1713,0.896,0.942
1718,0.835,0.916
1723,0.955,0.895
1728,0.855,0.88
1733,0.85,0.872
1738,0.839,0.873
1743,0.928,0.882
1748,0.899,0.896
1753,0.871,0.916
1758,0.891,0.942
1763,1.055,0.97
1768,0.937,0.996
1773,1.148,1.018
1778,1.031,1.034
1783,0.973,1.046
1788,1.047,1.06
1793,0.988,1.075
1798,1.213,1.09
1803,1.173,1.097
1808,1.067,1.099
1813,1.025,1.101
1818,1.102,1.106
1823,1.159,1.114
1828,1.165,1.126
1833,1.091,1.141
1838,1.104,1.165
1843,1.208,1.198
1848,1.205,1.237
1853,1.239,1.278
1858,1.396,1.317
1863,1.508,1.347
1868,1.288,1.366
1873,1.32,1.381
1878,1.389,1.396
1883,1.446,1.412
1888,1.42,1.427
1893,1.411,1.442
1898,1.477,1.458
1903,1.551,1.474
1908,1.398,1.49
1913,1.443,1.51
1918,1.618,1.532
1923,1.56,1.553
1928,1.551,1.57
1933,1.534,1.586
1938,1.607,1.598
1943,1.706,1.602
1948,1.645,1.596
1953,1.562,1.583
1958,1.515,1.57
1963,1.535,1.563
1968,1.521,1.563
1973,1.572,1.57
1978,1.637,1.581
1983,1.61,1.594
1988,1.61,1.608
1993,1.661,1.626
1998,1.53,1.651
2003,1.733,1.684
2008,1.652,1.725
2013,1.851,1.771
