SAMPLE,DNA.CONC.nguL
ELUTION_BUFFER,-0.2
KEV1,2.4
KEV1,2
KEV2,7.6
KEV2,7.3
KEV3,4.4
KEV3,5.3
KEV4,4.4
KEV4,5.2
KEV5,5.4
KEV5,5.7
KEV6,6.6
KEV6,6.9
KEV7,6
KEV7,6.7
KEV8,7.6
KEV8,7.6
KEV9,3.6
KEV9,3.7
KEV10,3.2
KEV10,3.6
VUO1,18.7
VUO1,18.3
VUO2,16.9
VUO2,16.6
VUO3,15.5
VUO3,15.3
VUO4,15.6
VUO4,15.7
VUO5,14.9
VUO5,15.5
VUO6,15
VUO6,14.9
VUO7,12.8
VUO7,13.3
VUO8,11.3
VUO8,11.4
VUO9,8.4
VUO9,8.5
VUO10,10.2
VUO10,10.1
VUO11,8.9
VUO11,9
VUO12,6.9
VUO12,6.6
VUO13,7.2
VUO13,7.3
VUO14,4.2
VUO14,5
VUO15,5.4
VUO15,5.3
VUO16,4.1
VUO16,4.3
VUO17,4.4
VUO17,4.8
VUO18,4.2
VUO18,3.6
VUO19,4.4
VUO19,4.3
VUO20,4.1
VUO20,4.5
PUL1,6.3
PUL1,6.5
PUL2,3.3
PUL2,3.5
PUL3,5.3
PUL3,5.6
PUL4,3.1
PUL4,2.7
PUL5,3.3
PUL5,3.6
PUL6,2.3
PUL6,2.2
PUL7,3
PUL7,2.7
PUL8,3.9
PUL8,3.9
PUL9,2.7
PUL9,3.1
PUL10,2.7
PUL10,2.8
PUL11,2.7
PUL11,2.4
PUL12,2.1
PUL12,1.9
PUL13,2.1
PUL13,2.7
PUL14,2.5
PUL14,2.3
PUL15,2
PUL15,1.8
PUL16,2.3
PUL16,2.6
PUL17,2
PUL17,2.1
PUL18,1.7
PUL18,2.1
PUL19,1.9
PUL19,1.5
PUL20,3.6
PUL20,3.8
AQT1,95.4
AQT2,63.6
AQT2,62.3
AQT1,96.6
AQT3_MICHELLE,35.4
AQT3_MICHELLE,36.1
AQT4_MICHELLE,10.2
AQT4_MICHELLE,10.2
ELUTION_BUFFER,-0.1
POK1,9.1
POK1,9
POK5,9.2
POK5,9.4
POK9,11.5
POK9,11.8
POK13,7.8
POK13,8.1
POK17,8.3
POK17,8.4
POK21,6.7
POK21,6.3
POK25,4.1
POK25,4.3
POK29,3.9
POK29,3.9
POK32,3.2
POK32,3.6
POK34,3.8
POK34,3.9
POK36,4.5
POK36,4.6
POK38,4
POK38,3.8
POK40,2.6
POK40,2.2
LAH1,2.4
LAH1,2.9
LAH7,1.2
LAH7,1
LAH11,1.4
LAH11,1.8
LAH20,4.1
LAH20,4
ELUTION_BUFFER,0
HAR1,9.4
HAR1,9.9
HAR2,11.4
HAR2,11
HAR3,12.9
HAR3,12.5
HAR4,13.1
HAR4,12.6
HAR5,14.2
HAR5,14
HAR7,15
HAR7,15.2
HAR9,12.7
HAR9,12.6
HAR11,8.9
HAR11,8.9
HAR13,12
HAR13,11.6
HAR15,9.5
HAR15,8.8
HAR17,7.9
HAR17,7.8
HAR19,9.2
HAR19,9.1
HAR21,6.9
HAR21,7.3
HAR25,5.4
HAR25,5.3
HAR29,5.1
HAR29,5.5
HAR33,4.4
HAR33,4.2
HAR37,3.6
HAR37,3.6
HAR41,5.4
HAR41,4.9
OJA1,22.5
OJA1,21.3
OJA2,21.1
OJA2,20.7
OJA3,14.2
OJA3,13.3
OJA4,16.6
OJA4,15.7
OJA5,16.5
OJA5,14.5
OJA7,11.3
OJA7,11.7
OJA9,10
OJA9,11.6
OJA11,11.8
OJA11,10.6
OJA13,8.3
OJA13,7.9
OJA15,7.4
OJA15,9.5
ELUTION_BUFFER,0.1
OJA17,5.6
OJA17,5.8
OJA19,7
OJA19,6.4
OJA21,4.9
OJA21,4.7
OJA25,4.5
OJA25,3.9
OJA29,3.4
OJA29,3
OJA33,4
OJA33,3.7
OJA37,2.6
OJA37,2.7
OJA41,2.4
OJA41,2.4
OJA45,2.4
OJA45,2.7
OJA49,3.5
OJA49,2.8
OJA53,3.7
OJA53,4.6
PAI1,18.5
PAI1,18.6
PAI2,16.7
PAI2,16.9
PAI3,13.6
PAI3,13.2
PAI4,9
PAI4,8.3
PAI5,8.7
PAI5,8.7
PAI7,5.3
PAI7,5.4
PAI9,4.8
PAI9,5
PAI11,3.7
PAI11,3.7
PAI13,4.6
PAI13,4.7
PAI15,3.6
PAI15,2.9
PAI17,3.2
PAI17,3.1
PAI23,2.4
PAI23,3.2
PAI27,3
PAI27,2.5
PAI29,3.2
PAI29,3.5
PAI31,2.5
PAI31,2.5
PAI34,2.7
PAI34,3
ELUTION_BUFFER,0.1
