Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.34,QX200 ddPCR EvaGreen Supermix,6.8,,,0.75,0.12,5,17104,,,,,,17109,,,,,,,,,,,,,,,,,,1,1,13106,18699,10453,10455,,,,,0.52,0.21,,,,,,,,,,,,
A02,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.84,QX200 ddPCR EvaGreen Supermix,16.8,,,1.36,0.47,14,19651,,,,,,19665,,,,,,,,,,,,,,,,,,1,1,13106,16526,9348.3,9353.4,,,,,1.08,0.63,,,,,,,,,,,,
A03,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.31,QX200 ddPCR EvaGreen Supermix,6.2,,,0.67,0.11,5,19059,,,,,,19064,,,,,,,,,,,,,,,,,,1,1,13106,16924,9054.3,9056.4,,,,,0.47,0.19,,,,,,,,,,,,
A04,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.71,QX200 ddPCR EvaGreen Supermix,14.2,,,1.2,0.38,12,19742,,,,,,19754,,,,,,,,,,,,,,,,,,1,1,13106,16480,8972.8,8977.3,,,,,0.94,0.53,,,,,,,,,,,,
A05,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.4,QX200 ddPCR EvaGreen Supermix,8,,,0.79,0.17,7,20350,,,,,,20357,,,,,,,,,,,,,,,,,,1,1,13106,15289,8134.5,8137,,,,,0.58,0.27,,,,,,,,,,,,
A06,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,1.09,QX200 ddPCR EvaGreen Supermix,21.8,,,1.64,0.68,20,21631,,,,,,21651,,,,,,,,,,,,,,,,,,1,1,13106,15841,7774,7781.5,,,,,1.35,0.86,,,,,,,,,,,,
A07,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.06,QX200 ddPCR EvaGreen Supermix,1.2,,,0.28,0,1,19994,,,,,,19995,,,,,,,,,,,,,,,,,,1,1,13106,25432,7464.9,7465.8,,,,,0.15,0.02,,,,,,,,,,,,
A08,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.11,QX200 ddPCR EvaGreen Supermix,2.2,,,0.36,0.02,2,20831,,,,,,20833,,,,,,,,,,,,,,,,,,1,1,13106,15327,7236.2,7236.9,,,,,0.22,0.05,,,,,,,,,,,,
A09,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,2.9,QX200 ddPCR EvaGreen Supermix,58,,,3.8,2.1,43,17674,,,,,,17717,,,,,,,,,,,,,,,,,,1,1,11717,15635,7342.2,7362.4,,,,,3.32,2.45,,,,,,,,,,,,
B01,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.2,QX200 ddPCR EvaGreen Supermix,4,,,0.54,0.05,3,17323,,,,,,17326,,,,,,,,,,,,,,,,,,1,1,13106,17292,10449,10451,,,,,0.35,0.11,,,,,,,,,,,,
B02,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.8,QX200 ddPCR EvaGreen Supermix,16,,,1.3,0.45,14,20558,,,,,,20572,,,,,,,,,,,,,,,,,,1,1,13106,18383,9156.6,9162.9,,,,,1.03,0.61,,,,,,,,,,,,
B03,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.06,QX200 ddPCR EvaGreen Supermix,1.2,,,0.28,0,1,19865,,,,,,19866,,,,,,,,,,,,,,,,,,1,1,13106,17115,9016.2,9016.6,,,,,0.15,0.02,,,,,,,,,,,,
B04,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.63,QX200 ddPCR EvaGreen Supermix,12.6,,,1.09,0.33,11,20396,,,,,,20407,,,,,,,,,,,,,,,,,,1,1,13106,15909,8933.5,8937.3,,,,,0.85,0.46,,,,,,,,,,,,
B05,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.45,QX200 ddPCR EvaGreen Supermix,9,,,0.85,0.21,8,20779,,,,,,20787,,,,,,,,,,,,,,,,,,1,1,13106,15897,8032.4,8035.4,,,,,0.63,0.31,,,,,,,,,,,,
B06,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.27,QX200 ddPCR EvaGreen Supermix,5.4,,,0.6,0.1,5,21433,,,,,,21438,,,,,,,,,,,,,,,,,,1,1,13106,17019,7709.2,7711.4,,,,,0.42,0.17,,,,,,,,,,,,
B07,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,1,QX200 ddPCR EvaGreen Supermix,20,,,1.6,0.6,16,18258,,,,,,18274,,,,,,,,,,,,,,,,,,1,1,13106,18949,7480.3,7490.3,,,,,1.31,0.79,,,,,,,,,,,,
B08,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0,QX200 ddPCR EvaGreen Supermix,0,,,0.16,0,0,21497,,,,,,21497,,,,,,,,,,,,,,,,,,1,1,13106,0,7118.3,7118.3,,,,,0.075,0,,,,,,,,,,,,
B09,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,3.7,QX200 ddPCR EvaGreen Supermix,74,,,4.8,2.8,56,17797,,,,,,17853,,,,,,,,,,,,,,,,,,1,1,12452,13924,8301.1,8318.7,,,,,4.21,3.23,,,,,,,,,,,,
C01,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.41,QX200 ddPCR EvaGreen Supermix,8.2,,,0.85,0.16,6,17057,,,,,,17063,,,,,,,,,,,,,,,,,,1,1,13106,16706,10342,10344,,,,,0.61,0.27,,,,,,,,,,,,
C02,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,1.4,QX200 ddPCR EvaGreen Supermix,28,,,2.1,0.9,21,17715,,,,,,17736,,,,,,,,,,,,,,,,,,1,1,13106,17974,9361.2,9371.4,,,,,1.72,1.11,,,,,,,,,,,,
C03,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.17,QX200 ddPCR EvaGreen Supermix,3.4,,,0.45,0.04,3,20566,,,,,,20569,,,,,,,,,,,,,,,,,,1,1,13106,17933,8796.1,8797.4,,,,,0.29,0.09,,,,,,,,,,,,
C04,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.48,QX200 ddPCR EvaGreen Supermix,9.6,,,0.9,0.22,8,19583,,,,,,19591,,,,,,,,,,,,,,,,,,1,1,13106,15323,8801.5,8804.2,,,,,0.67,0.33,,,,,,,,,,,,
C05,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.36,QX200 ddPCR EvaGreen Supermix,7.2,,,0.74,0.14,6,19370,,,,,,19376,,,,,,,,,,,,,,,,,,1,1,13106,16169,8116.3,8118.8,,,,,0.54,0.23,,,,,,,,,,,,
C06,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.11,QX200 ddPCR EvaGreen Supermix,2.2,,,0.37,0.02,2,20530,,,,,,20532,,,,,,,,,,,,,,,,,,1,1,13106,17717,7743.1,7744.1,,,,,0.22,0.05,,,,,,,,,,,,
C07,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.18,QX200 ddPCR EvaGreen Supermix,3.6,,,0.48,0.04,3,19553,,,,,,19556,,,,,,,,,,,,,,,,,,1,1,13106,16538,7507.4,7508.8,,,,,0.31,0.09,,,,,,,,,,,,
C08,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.06,QX200 ddPCR EvaGreen Supermix,1.2,,,0.29,0,1,19546,,,,,,19547,,,,,,,,,,,,,,,,,,1,1,13106,34207,7250.3,7251.7,,,,,0.15,0.02,,,,,,,,,,,,
C09,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,1,QX200 ddPCR EvaGreen Supermix,20,,,1.58,0.59,16,18799,,,,,,18815,,,,,,,,,,,,,,,,,,1,1,13106,14119,9724.2,9727.9,,,,,1.27,0.77,,,,,,,,,,,,
D01,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.35,QX200 ddPCR EvaGreen Supermix,7,,,0.75,0.12,5,16991,,,,,,16996,,,,,,,,,,,,,,,,,,1,1,13106,17018,10390,10392,,,,,0.53,0.21,,,,,,,,,,,,
D02,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.17,QX200 ddPCR EvaGreen Supermix,3.4,,,0.46,0.04,3,20521,,,,,,20524,,,,,,,,,,,,,,,,,,1,1,13106,18205,9185.2,9186.5,,,,,0.29,0.09,,,,,,,,,,,,
D03,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.23,QX200 ddPCR EvaGreen Supermix,4.6,,,0.54,0.07,4,20416,,,,,,20420,,,,,,,,,,,,,,,,,,1,1,13106,17339,8784.6,8786.3,,,,,0.37,0.13,,,,,,,,,,,,
D04,Absolute Quantification,ABS,,Ch1Unknown,qmerA,Manual,0.25,QX200 ddPCR EvaGreen Supermix,5,,,0.58,0.07,4,19121,,,,,,19125,,,,,,,,,,,,,,,,,,1,1,13106,16045,8898.7,8900.1,,,,,0.39,0.14,,,,,,,,,,,,
