Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",1.4,QX200 ddPCR EvaGreen Supermix,28,,,2.1,0.9,24,19550,,,,,,19574,,,,,,,,,,,,,,,,,,1,1,10983,13693,8665,8671.2,"",,,,1.76,1.17,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.18,QX200 ddPCR EvaGreen Supermix,3.6,,,0.49,0.04,3,19231,,,,,,19234,,,,,,,,,,,,,,,,,,1,1,10983,13901,8259.3,8260.2,"",,,,0.31,0.1,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.96,QX200 ddPCR EvaGreen Supermix,19.2,,,1.51,0.56,16,19644,,,,,,19660,,,,,,,,,,,,,,,,,,1,1,10983,14446,8190.4,8195.5,"",,,,1.22,0.74,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",1.6,QX200 ddPCR EvaGreen Supermix,32,,,2.2,1,25,18950,,,,,,18975,,,,,,,,,,,,,,,,,,1,1,10983,14974,7702.5,7712.1,"",,,,1.88,1.26,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",29,QX200 ddPCR EvaGreen Supermix,580,,,31.5,26.6,532,21296,,,,,,21828,,,,,,,,,,,,,,,,,,1,1,10983,15202,7833.8,8013.4,"",,,,30.3,27.8,,,,,,,,,,,,,
"A06",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",5.7,QX200 ddPCR EvaGreen Supermix,114,,,6.8,4.6,104,21376,,,,,,21480,,,,,,,,,,,,,,,,,,1,1,10983,15778,7606.8,7646.4,"",,,,6.3,5.2,,,,,,,,,,,,,
"A07",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",12.5,QX200 ddPCR EvaGreen Supermix,250,,,14.3,10.8,198,18482,,,,,,18680,,,,,,,,,,,,,,,,,,1,1,10983,16648,7411.2,7509.1,"",,,,13.4,11.6,,,,,,,,,,,,,
"A08",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.26,QX200 ddPCR EvaGreen Supermix,5.2,,,0.62,0.08,4,17933,,,,,,17937,,,,,,,,,,,,,,,,,,1,1,10983,15654,7016,7017.9,"",,,,0.42,0.15,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.3,QX200 ddPCR EvaGreen Supermix,6,,,0.64,0.1,5,19899,,,,,,19904,,,,,,,,,,,,,,,,,,1,1,10983,11933,8651,8651.9,"",,,,0.45,0.18,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.36,QX200 ddPCR EvaGreen Supermix,7.2,,,0.73,0.14,6,19704,,,,,,19710,,,,,,,,,,,,,,,,,,1,1,10983,15582,8176.2,8178.4,"",,,,0.53,0.23,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.4,QX200 ddPCR EvaGreen Supermix,8,,,0.78,0.17,7,20638,,,,,,20645,,,,,,,,,,,,,,,,,,1,1,10983,15104,8100.4,8102.8,"",,,,0.57,0.27,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.24,QX200 ddPCR EvaGreen Supermix,4.8,,,0.56,0.07,4,19700,,,,,,19704,,,,,,,,,,,,,,,,,,1,1,10983,15254,7584.7,7586.3,"",,,,0.38,0.14,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",22.9,QX200 ddPCR EvaGreen Supermix,458,,,25.2,20.6,395,20098,,,,,,20493,,,,,,,,,,,,,,,,,,1,1,10983,15256,7708.7,7854.2,"",,,,24.1,21.7,,,,,,,,,,,,,
"B06",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",7.1,QX200 ddPCR EvaGreen Supermix,142,,,8.3,5.8,127,21093,,,,,,21220,,,,,,,,,,,,,,,,,,1,1,10983,15300,7669.9,7715.6,"",,,,7.7,6.4,,,,,,,,,,,,,
"B07",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",13,QX200 ddPCR EvaGreen Supermix,260,,,14.8,11.3,217,19481,,,,,,19698,,,,,,,,,,,,,,,,,,1,1,10983,16400,7388.4,7487.7,"",,,,13.9,12.1,,,,,,,,,,,,,
"B08",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.4,QX200 ddPCR EvaGreen Supermix,8,,,0.82,0.16,6,17608,,,,,,17614,,,,,,,,,,,,,,,,,,1,1,10983,14285,6625.8,6628.4,"",,,,0.59,0.26,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.54,QX200 ddPCR EvaGreen Supermix,10.8,,,0.98,0.26,9,19585,,,,,,19594,,,,,,,,,,,,,,,,,,1,1,10983,14757,8710.2,8712.9,"",,,,0.74,0.38,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.17,QX200 ddPCR EvaGreen Supermix,3.4,,,0.46,0.04,3,20380,,,,,,20383,,,,,,,,,,,,,,,,,,1,1,10983,14186,8202.4,8203.3,"",,,,0.3,0.09,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.78,QX200 ddPCR EvaGreen Supermix,15.6,,,1.26,0.44,14,21165,,,,,,21179,,,,,,,,,,,,,,,,,,1,1,10983,14453,8105.8,8110,"",,,,1.01,0.59,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.54,QX200 ddPCR EvaGreen Supermix,10.8,,,0.98,0.26,9,19657,,,,,,19666,,,,,,,,,,,,,,,,,,1,1,10983,14249,7654.6,7657.6,"",,,,0.74,0.38,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",1.6,QX200 ddPCR EvaGreen Supermix,32,,,2.3,1.1,28,20527,,,,,,20555,,,,,,,,,,,,,,,,,,1,1,10983,14047,7362.8,7371.9,"",,,,1.93,1.32,,,,,,,,,,,,,
"C06",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",3.4,QX200 ddPCR EvaGreen Supermix,68,,,4.3,2.6,57,19763,,,,,,19820,,,,,,,,,,,,,,,,,,1,1,10983,16275,7597.1,7622.1,"",,,,3.86,2.96,,,,,,,,,,,,,
"C07",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",5.7,QX200 ddPCR EvaGreen Supermix,114,,,7,4.7,96,19604,,,,,,19700,,,,,,,,,,,,,,,,,,1,1,10983,16317,7264.3,7308.4,"",,,,6.4,5.2,,,,,,,,,,,,,
"C08",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.2,QX200 ddPCR EvaGreen Supermix,4,,,0.54,0.05,3,17406,,,,,,17409,,,,,,,,,,,,,,,,,,1,1,10983,17046,6738.2,6740,"",,,,0.35,0.11,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.47,QX200 ddPCR EvaGreen Supermix,9.4,,,0.87,0.21,8,20168,,,,,,20176,,,,,,,,,,,,,,,,,,1,1,10983,13248,8759.4,8761.1,"",,,,0.65,0.32,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.45,QX200 ddPCR EvaGreen Supermix,9,,,0.84,0.2,8,20864,,,,,,20872,,,,,,,,,,,,,,,,,,1,1,10983,12487,8070.5,8072.2,"",,,,0.63,0.31,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.9,QX200 ddPCR EvaGreen Supermix,18,,,1.44,0.52,15,19610,,,,,,19625,,,,,,,,,,,,,,,,,,1,1,10983,16240,8362,8368,"",,,,1.15,0.69,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.12,QX200 ddPCR EvaGreen Supermix,2.4,,,0.39,0.02,2,19397,,,,,,19399,,,,,,,,,,,,,,,,,,1,1,10983,14557,7814.7,7815.4,"",,,,0.23,0.05,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.92,QX200 ddPCR EvaGreen Supermix,18.4,,,1.46,0.54,16,20356,,,,,,20372,,,,,,,,,,,,,,,,,,1,1,10983,14065,7317.9,7323.2,"",,,,1.18,0.71,,,,,,,,,,,,,
"D06",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",5.8,QX200 ddPCR EvaGreen Supermix,116,,,7.1,4.7,95,19175,,,,,,19270,,,,,,,,,,,,,,,,,,1,1,10983,15230,7719.9,7756.9,"",,,,6.4,5.2,,,,,,,,,,,,,
"D07",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",5.6,QX200 ddPCR EvaGreen Supermix,112,,,6.8,4.5,92,19258,,,,,,19350,,,,,,,,,,,,,,,,,,1,1,10983,16356,7363.5,7406.2,"",,,,6.2,5,,,,,,,,,,,,,
"D08",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",58.9,QX200 ddPCR EvaGreen Supermix,1178,,,62.9,54.9,837,16295,,,,,,17132,,,,,,,,,,,,,,,,,,1,1,10983,16082,6620.9,7083.1,"",,,,61,56.9,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.77,QX200 ddPCR EvaGreen Supermix,15.4,,,1.27,0.42,13,19953,,,,,,19966,,,,,,,,,,,,,,,,,,1,1,10983,13818,8738.3,8741.6,"",,,,1,0.57,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.34,QX200 ddPCR EvaGreen Supermix,6.8,,,0.7,0.13,6,20496,,,,,,20502,,,,,,,,,,,,,,,,,,1,1,10983,14193,8081.2,8083,"",,,,0.51,0.22,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","",Ch1Unknown,"qmerA","Manual",0.51,QX200 ddPCR EvaGreen Supermix,10.2,,,0.93,0.24,9,20734,,,,,,20743,,,,,,,,,,,,,,,,,,1,1,10983,13222,8138.8,8141,"",,,,0.7,0.36,,,,,,,,,,,,,
