Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",32.4,QX200 ddPCR EvaGreen Supermix,648,,,35.2,29.6,514,18432,,,,,,18946,,,,,,,,,,,,,,,,,,1,1,9124,18533,3142.8,3560.3,"",,,,33.8,30.9,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",9.6,QX200 ddPCR EvaGreen Supermix,192,,,11.1,8.1,165,20144,,,,,,20309,,,,,,,,,,,,,,,,,,1,1,9124,19698,2880.1,3016.8,"",,,,10.3,8.9,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",39.9,QX200 ddPCR EvaGreen Supermix,798,,,42.8,37,729,21139,,,,,,21868,,,,,,,,,,,,,,,,,,1,1,9124,18616,2650.3,3182.5,"",,,,41.4,38.4,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",585,QX200 ddPCR EvaGreen Supermix,11700,,,599,572,7564,11739,,,,,,19303,,,,,,,,,,,,,,,,,,1,1,9124,18410,2719.5,8867.7,"",,,,592,578,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",101.9,QX200 ddPCR EvaGreen Supermix,2038,,,106.9,96.9,1603,17725,,,,,,19328,,,,,,,,,,,,,,,,,,1,1,9124,18784,2445.1,3800.2,"",,,,104.4,99.3,,,,,,,,,,,,,
"A06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",549,QX200 ddPCR EvaGreen Supermix,10980,,,562,537,7202,12105,,,,,,19307,,,,,,,,,,,,,,,,,,1,1,9124,18995,2457.4,8626.4,"",,,,556,543,,,,,,,,,,,,,
"A07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",14,QX200 ddPCR EvaGreen Supermix,280,,,15.9,12.1,212,17732,,,,,,17944,,,,,,,,,,,,,,,,,,1,1,9124,19273,2234.9,2436.2,"",,,,14.9,13,,,,,,,,,,,,,
"A08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",9,QX200 ddPCR EvaGreen Supermix,180,,,10.5,7.5,135,17625,,,,,,17760,,,,,,,,,,,,,,,,,,1,1,9124,18534,2156.8,2281.3,"",,,,9.7,8.2,,,,,,,,,,,,,
"A09",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",246,QX200 ddPCR EvaGreen Supermix,4920,,,254,238,3443,14791,,,,,,18234,,,,,,,,,,,,,,,,,,1,1,9124,18403,2219.9,5275.7,"",,,,250.4,242,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",94,QX200 ddPCR EvaGreen Supermix,1880,,,98.7,89.3,1543,18559,,,,,,20102,,,,,,,,,,,,,,,,,,1,1,9124,18440,3163.8,4336.4,"",,,,96.4,91.6,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",3.1,QX200 ddPCR EvaGreen Supermix,62,,,4,2.3,53,20055,,,,,,20108,,,,,,,,,,,,,,,,,,1,1,9124,19339,2822.3,2865.8,"",,,,3.55,2.7,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",82.2,QX200 ddPCR EvaGreen Supermix,1644,,,86.4,78,1463,20222,,,,,,21685,,,,,,,,,,,,,,,,,,1,1,9124,18748,2637.8,3724.7,"",,,,84.3,80,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1156,QX200 ddPCR EvaGreen Supermix,23120,,,1178,1135,12352,7387,,,,,,19739,,,,,,,,,,,,,,,,,,1,1,9124,18176,2831.4,12434,"",,,,1167,1146,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",93.2,QX200 ddPCR EvaGreen Supermix,1864,,,98,88.5,1486,18023,,,,,,19509,,,,,,,,,,,,,,,,,,1,1,9124,19193,2445.7,3721.3,"",,,,95.6,90.8,,,,,,,,,,,,,
"B06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",49.9,QX200 ddPCR EvaGreen Supermix,998,,,53.5,46.4,759,17517,,,,,,18276,,,,,,,,,,,,,,,,,,1,1,9124,18893,2310.5,2999.2,"",,,,51.7,48.1,,,,,,,,,,,,,
"B07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",30.7,QX200 ddPCR EvaGreen Supermix,614,,,33.5,27.9,465,17578,,,,,,18043,,,,,,,,,,,,,,,,,,1,1,9124,18772,2201,2628.1,"",,,,32.1,29.3,,,,,,,,,,,,,
"B08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",3.5,QX200 ddPCR EvaGreen Supermix,70,,,4.5,2.7,56,18800,,,,,,18856,,,,,,,,,,,,,,,,,,1,1,9124,18969,2132.4,2182.4,"",,,,3.99,3.05,,,,,,,,,,,,,
"B09",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",2760,QX200 ddPCR EvaGreen Supermix,55200,,,2820,2710,15925,1685,,,,,,17610,,,,,,,,,,,,,,,,,,1,1,9124,17773,3053.5,16365,"",,,,2788,2734,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",312,QX200 ddPCR EvaGreen Supermix,6240,,,321,303,4585,15091,,,,,,19676,,,,,,,,,,,,,,,,,,1,1,9124,18588,3182.7,6772.5,"",,,,316.8,307.5,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",85.4,QX200 ddPCR EvaGreen Supermix,1708,,,89.8,81,1467,19487,,,,,,20954,,,,,,,,,,,,,,,,,,1,1,9124,18969,2807.9,3939.3,"",,,,87.6,83.2,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",67,QX200 ddPCR EvaGreen Supermix,1340,,,70.8,63.1,1159,19786,,,,,,20945,,,,,,,,,,,,,,,,,,1,1,9124,19038,2638.8,3546.2,"",,,,68.9,65,,,,,,,,,,,,,
