depth.cm	tHg.ngg	cum.drymass.g	sed.rate.g	sed.rate.error.g	Year.calc	Year.est
0.25	85.9016	0.0066	0.0085	0.0028	2013.2	NA
1.25	105.1136	0.0317	0.0029	0.0005	2007.63	NA
2.25	143.6401	0.0542	0.0046	0.0016	2001.15	NA
3.25	244.1667	0.0747	0.0106	0.0092	1997.88	NA
4.25	500.5495	0.0951	0.0068	0.0025	1995.44	NA
5.25	499.2655	0.1167	0.0055	0.0016	1991.88	NA
6.25	1000.8333	0.1384	0.0037	0.001	1987.02	NA
7.25	1929.7778	NA	NA	NA	NA	NA
8.25	2079.0741	0.1781	0.0046	0.0031	1977.08	NA
9.25	2284.0909	NA	NA	NA	NA	NA
10.25	2072.2727	0.2176	0.0024	0.0013	1965.09	NA
11.25	303.4783	NA	NA	NA	NA	NA
12.25	153.4579	0.2614	0.0024	0.0023	1946.38	NA
13.25	115.283	NA	NA	NA	NA	NA
14.25	122.6724	0.3042	0.0033	0.0044	1930.18	NA
15.25	104.6847	NA	NA	NA	NA	NA
16.25	94.3103	0.3414	0.0006	0.0008	1901.15	NA
17.25	94.0625	NA	NA	NA	NA	NA
18.25	98.9116	NA	NA	NA	NA	NA
20.25	71.6393	NA	NA	NA	NA	NA
24.25	63.2967	NA	NA	NA	NA	NA
29.25	62.1053	NA	NA	NA	NA	NA
35.25	46.7797	NA	NA	NA	NA	NA
40.25	39.6364	NA	NA	NA	NA	NA
45.25	33.8009	NA	NA	NA	NA	NA
50.25	37.7451	NA	NA	NA	NA	NA
