	Bayesian Skyline: ref_25_merA_AQT_combined.log			
Time	Mean	Median	Upper	Lower
2010.0	30530.158743875527	13181.753180476016	155509.28331915895	2029.0531066157885
2003.7118892026408	30528.950444182854	13181.06774956471	155509.28331915895	2029.0661596558232
1997.4237784052816	30530.09561604261	13181.61424451257	155509.28331915895	2031.4642652444165
1991.1356676079224	30531.914092357263	13182.829966678823	155509.28331915895	2046.7568512864798
1984.8475568105632	30531.352443736083	13182.829966678823	155501.40905817694	2058.682815103117
1978.559446013204	30523.87884504118	13183.933579952574	155352.39630836234	2074.7126105160937
1972.2713352158448	30518.328932662032	13181.506277593122	155279.87953705445	2100.5356074364454
1965.9832244184856	30512.920292570638	13178.463883571365	155245.63847961565	2124.1737643687134
1959.6951136211264	30502.74778044409	13177.747670013525	155073.89704588638	2147.5751001852555
1953.4070028237672	30492.815857902744	13176.274073052264	155031.8666945016	2174.742021921475
1947.118892026408	30471.01601949633	13164.937988641163	154874.24110290938	2198.447230898149
1940.8307812290489	30439.505734516428	13153.999544452066	154684.87763727474	2218.4386110643572
1934.5426704316897	30410.852046385902	13140.364076320653	154484.27552238214	2233.534840813007
1928.2545596343305	30217.53241163667	13035.836114349777	153538.23929527527	2275.4129002373907
1921.9664488369713	29078.73752427913	12371.282707635408	148346.0020848541	2048.6729591310313
1915.678338039612	27469.57640619047	11449.779488988788	140591.433673747	1744.070143085887
1909.3902272422529	25679.572172211974	10435.440977747927	131791.26314069246	1558.611155838826
1903.1021164448937	23957.798030325852	9451.625578351546	123419.97654364919	1458.5810637881311
1896.8140056475345	22528.224515008143	8612.05627038476	116677.72772642075	1387.591802388185
1890.5258948501753	21226.597444509654	7940.684112270514	110933.36931298746	1349.4370146888168
1884.237784052816	20106.82805642095	7419.985901348218	104685.58802224864	1320.9368632275537
1877.949673255457	19075.305108506465	6996.759775964103	98557.39510107056	1286.95821401744
1871.6615624580977	18274.81791703907	6691.923772111165	93622.58081477071	1281.8390272719923
1865.3734516607385	17495.260085905582	6456.165490448586	88321.38582353598	1274.464499517397
1859.0853408633793	16860.246588043385	6278.613780551583	84025.97557461385	1266.6637733369091
1852.7972300660201	16138.21010727079	6142.019346363372	80559.58499651568	1253.8122572334971
1846.509119268661	15634.892056704459	6036.387570643194	77703.19134525477	1243.3453533051336
1840.2210084713017	15309.47504597184	5964.934841355477	75066.81909499042	1230.1273830027446
1833.9328976739425	15087.626046374333	5909.984042835466	73298.08259217374	1223.214053195797
1827.6447868765833	14930.858752990987	5893.570272757912	71737.45627810979	1218.407891847564
1821.3566760792241	14814.157544164409	5897.907468311597	70604.30706193978	1209.812456517702
1815.068565281865	14722.17151821348	5924.139816609071	69511.86080498103	1211.7634399559915
1808.7804544845058	14715.055706008912	5963.632966909325	68344.72963337458	1222.2465238138286
1802.4923436871466	14744.0190675664	6026.358076517999	67891.4246034268	1226.7446825104473
1796.2042328897874	14774.181131244544	6110.3218213595865	66954.82884390884	1231.4581379322476
1789.9161220924282	14843.857365198644	6227.029216673836	66886.5335844304	1240.4358480068795
1783.628011295069	14965.62159324739	6369.629008325084	66250.26848201275	1264.638491830548
1777.3399004977098	15129.086359531326	6539.85948906381	66417.1960104308	1297.9698025432078
1771.0517897003506	15262.453659436256	6699.808013315693	66427.09202978069	1330.3337579861204
1764.7636789029914	15441.263823256057	6878.035860346735	66818.26510815587	1368.7482646932008
