	Bayesian Skyline: ref_25_merA_LAH_combined.log			
Time	Mean	Median	Upper	Lower
2014.0	723165.0738121881	329226.62529748783	3790592.0059895995	29415.60370508742
2007.1854892330477	723165.363432811	329226.62529748783	3790592.0059895995	29710.107217788714
2000.3709784660955	722773.5018147465	328675.06125873356	3790592.0059895995	29710.107217788714
1993.5564676991432	721548.2308607248	327478.3079978225	3790592.0059895995	28415.73978742876
1986.741956932191	718959.3969613488	325302.54755299055	3763687.5517064664	26859.136694189878
1979.9274461652387	714538.3437345938	322542.1788521941	3763687.5517064664	20800.653581753355
1973.1129353982865	707201.1632283027	315927.1929390529	3735317.884953167	13974.286225536734
1966.2984246313342	695785.2652593104	307621.78382126935	3698937.9373341855	10293.89770942157
1959.483913864382	684709.9463776315	299806.1852150668	3660506.297402579	8165.096092181392
1952.6694030974297	672652.1269600426	290014.0968237545	3646652.545088808	6963.762620371772
1945.8548923304775	655894.3900197638	277602.54442771757	3620724.9320562407	6096.989215978516
1939.0403815635252	637424.124151402	263848.0295055791	3558724.6721286736	5514.263500508262
1932.225870796573	621525.8711803734	247561.75468351136	3504214.655204223	4762.277892398475
1925.4113600296207	604735.2413115058	232884.71253302743	3484755.154279673	4321.479696676946
1918.5968492626685	590298.0725019041	218603.07551545723	3467177.910028926	3950.445348609572
1911.7823384957162	575727.5873559936	201021.18458291635	3436385.308410102	3623.7202543749704
1904.967827728764	556152.1011132644	182591.42974298677	3369512.444285879	3405.0007200989908
1898.1533169618117	539295.5951068983	163119.3904003282	3303402.083664226	3057.9788774032336
1891.3388061948594	523158.2258612624	145877.6993295033	3210501.8863265193	2896.9955355279567
1884.5242954279072	507007.1869127833	127187.35489888226	3168404.9755394524	2808.296999278091
1877.709784660955	490913.78463800106	114460.80345840538	3123303.456361745	2591.62006021692
1870.8952738940027	474296.05235110666	100565.42407499818	3055577.1866959706	2434.7765650147317
1864.0807631270504	458232.08750420756	87752.78295598696	2984623.3932913435	2238.667311060077
1857.2662523600982	444074.2422365805	78634.42344877834	2915436.867854814	2121.013492361613
1850.451741593146	429104.8711620281	70355.43885025894	2839431.152328097	2001.7450208613268
1843.6372308261937	415730.50027360127	64444.79047408548	2804957.3358182297	1875.7064264139615
1836.8227200592414	403492.4935539136	60019.365168657154	2735642.26299344	1762.1683944554995
1830.0082092922892	391660.0385720366	56604.91624442127	2708204.7234338997	1694.5106317951956
1823.193698525337	379236.4916170906	53098.602371334346	2686165.374242145	1576.9620943927907
1816.3791877583847	368205.0665093102	50022.44677987149	2640187.270069053	1488.0854084165858
1809.5646769914324	354726.51180793834	47787.5716231352	2618656.540731024	1408.825535431786
1802.7501662244802	343953.2191856377	45456.07134468892	2577009.0506110764	1353.758096890017
1795.935655457528	331156.8870439769	43620.45457806754	2469841.8838396426	1270.639371303288
1789.1211446905756	321266.0712230346	42345.86156293333	2417063.2958381292	1269.6666176224642
1782.3066339236234	312180.0125517477	41138.2061833141	2399191.56981519	1189.6271103782467
1775.4921231566711	302095.93566456594	39468.4490725603	2324960.4507927	1156.649654221691
1768.677612389719	293532.44193856645	38537.60130495342	2273559.161906646	1067.9789176473137
1761.8631016227666	284683.06842932885	37619.595445967105	2252853.802811296	1021.5241232851397
1755.0485908558144	275581.38760815724	36494.372395111764	2186995.85952468	1014.2794766656551
1748.2340800888621	265384.6822337827	35494.48799898306	2148301.2456957926	998.2263715352339
1741.4195693219099	257287.91601530657	34568.50525884148	2086454.791375482	946.8312223337523
1734.6050585549576	248515.70987761472	33899.96097639887	2035848.6649558872	941.8301789306316
1727.7905477880054	239806.5000672962	32825.90646408811	1980224.2192068165	911.1186051129986
1720.9760370210531	233891.37577369032	32358.707005852844	1920966.925665828	871.490381534812
1714.1615262541009	225608.5190420446	31468.27012422082	1875009.9892455088	842.5902172859633
1707.3470154871486	219549.10865281627	30637.094608074192	1825171.3684934792	826.2621913754498
1700.5325047201964	214512.0267620053	30113.065886202356	1795507.987323429	815.9644985069676
