	Bayesian Skyline: ref_25_merA_OJA_combined.log			
Time	Mean	Median	Upper	Lower
2016.0	1048.8052912530982	600.4208821966448	4596.207877176302	137.9752133937888
2009.555398081058	388.3850992249834	268.29507658336263	1398.4221120291993	71.27049145657885
2003.110796162116	393.72702652389717	313.84600675933723	1157.919869980886	91.49263450972056
1996.666194243174	620.0881505432623	498.56487371625775	1819.381527018709	141.78720355502637
1990.221592324232	545.6644556136217	374.70003208504687	2041.9221503345393	64.9351760039244
1983.77699040529	773.8298600450726	591.1948299373089	2517.204691809613	132.0643903373532
1977.332388486348	966.3471482293468	772.4478743224947	2888.078580013749	200.67831918872702
1970.887786567406	1092.0811560142704	890.2779246891209	3153.1912726503806	241.15701269817075
1964.443184648464	1200.7138894312154	985.6895858935566	3430.1408799707892	270.0230234328475
1957.998582729522	1294.0259199665234	1066.2431081030045	3657.3975551174353	294.5529581397902
1951.55398081058	1376.80562946809	1138.1541309714785	3859.162777566622	316.5186304938229
1945.109378891638	1455.883901132602	1200.7900972558584	4080.607142192439	336.566672692606
1938.664776972696	1528.0946237983305	1259.3370897801474	4279.330494942173	358.46133241396177
1932.220175053754	1591.3811259451268	1309.280530006376	4446.15930414132	377.19670848006007
1925.775573134812	1651.2750010406799	1354.0567645011242	4641.22504702557	393.1597314182513
1919.33097121587	1704.4308790138762	1396.1329779938778	4818.957559124145	404.3209698172117
1912.886369296928	1749.2474493333095	1428.7909336497805	4989.090115245559	419.2421638410434
1906.441767377986	1791.5886525660444	1459.119606153471	5145.279708947144	427.28134358389184
1899.997165459044	1827.6504446818228	1483.8809885685682	5266.079796773823	432.56541727004117
1893.552563540102	1859.4672035909016	1505.7003341094014	5391.129488657155	437.43224737392654
1887.10796162116	1894.8893962793031	1526.985072445504	5508.174717076295	434.94043303121316
1880.663359702218	1922.9799054129367	1540.1917978458753	5691.049725158825	397.1531425366205
1874.218757783276	1931.5163921358353	1534.7593846051436	5862.1491004004165	349.4468337236605
1867.774155864334	1925.228337761095	1514.7464101880398	5995.582848517378	306.1267838169099
1861.329553945392	1908.363922676739	1485.2433226911028	6088.359884695398	272.84627303099825
1854.88495202645	1890.8236341197235	1451.5253868121163	6162.022136141044	250.46838621187757
1848.440350107508	1866.1602728913326	1413.9832879624971	6208.980154408681	235.92248901820355
1841.995748188566	1839.2899830421163	1373.6820308350477	6246.4381562242925	225.26455266560674
1835.551146269624	1814.6203203231107	1337.297382996474	6294.897229570316	219.21002733168564
1829.106544350682	1788.560320476783	1301.0278699716837	6314.415523818766	212.1941352324778
1822.66194243174	1763.5487213857432	1264.1680579512138	6320.61933101269	208.05007235815043
1816.217340512798	1738.8081626049536	1227.5700068381304	6333.115225450635	205.43530923414824
1809.772738593856	1718.1391308540924	1196.4202003535481	6356.797616148489	203.57862778988513
1803.328136674914	1694.4450942854014	1166.497367537423	6331.824948681272	201.64543712429943
1796.883534755972	1670.56741990361	1138.869998052571	6302.218729153983	201.07748545959865
1790.43893283703	1651.476622296425	1116.086111075049	6302.175403947823	200.41502898963955
1783.994330918088	1631.6930151334898	1095.0754301303525	6262.154392315962	201.04215274359225
1777.549728999146	1615.1071886543878	1075.555228250028	6259.680609035117	201.69341027642602
1771.105127080204	1596.04556948295	1055.631828852913	6223.1218476772565	201.2284457903269
1764.660525161262	1578.8339632593552	1039.9878810188804	6189.578380844793	202.01324544483856
1758.21592324232	1564.1948024929923	1024.9752530329279	6148.141575262212	202.98088791160725
1751.771321323378	1549.638341978182	1012.8427730637914	6125.599175648858	203.70769292817866
1745.326719404436	1536.6769979411147	1002.4130259573915	6111.02256200387	204.5887227198306
1738.882117485494	1521.978993893639	992.8221257284576	6066.665264692204	205.80776484522931
1732.437515566552	1509.7080148078892	984.5685605242328	6022.22702296133	206.71938630511016
1725.99291364761	1497.1783406389625	977.2825885855384	5988.503346488266	206.8234228994711
1719.548311728668	1487.1565993983618	971.5611175695476	5959.810394988329	207.44794443912411
1713.103709809726	1476.8755433035706	965.4384710876299	5897.954778610385	208.70156458258847
1706.659107890784	1467.5605142077732	959.460643143561	5868.460993990441	209.47100085621295
1700.214505971842	1459.7952563436932	955.016921549325	5846.941315192514	209.78135274775383
1693.7699040529	1449.0894657352394	948.9974566096075	5807.871053733899	210.1403653462347
1687.325302133958	1440.4318606917811	944.5076856754298	5757.423704601267	211.2963968121257
1680.880700215016	1431.8630369967082	941.55263839794	5717.827488148341	212.0708822168296
1674.436098296074	1423.912936782905	938.2459873229194	5665.133824240662	212.2559791657578
1667.991496377132	1415.2502593841582	934.8623974648746	5610.534136308879	212.70230471474176
1661.54689445819	1408.3827633569672	932.8507299864755	5587.260380764656	213.51345742952677
1655.102292539248	1403.029135604205	929.8150305313364	5556.456779279143	214.33065825081678
1648.657690620306	1394.933041013285	928.0419563600785	5502.302240444489	214.74015640961903
1642.213088701364	1388.9376229052937	926.7335348424233	5460.843051424737	215.73480480416993
1635.768486782422	1381.9547417187223	924.4309512479941	5432.722700237144	215.9269155857978
1629.32388486348	1377.3890627039436	922.4982138951088	5415.165513985852	216.04910889240307
1622.879282944538	1370.9234109571203	919.8601041714043	5366.722134579993	216.56665487498066
1616.434681025596	1365.7843349796547	918.2211078023846	5330.569182192391	216.49483951942378
1609.990079106654	1360.6045597652314	916.8813425424777	5302.892688418159	216.56665487498066
1603.545477187712	1354.2199000479682	914.337581173977	5247.322769764025	216.25648807750096
1597.10087526877	1347.685684645418	913.1808841182378	5203.323254815605	215.8696973255832
1590.656273349828	1342.694624417197	912.0087011260878	5172.769334895067	216.23243350314507
1584.211671430886	1339.072851759307	910.1676984545277	5158.109211772947	215.8696973255832
1577.767069511944	1334.9823110584346	909.6121381817176	5132.5697992244795	216.15237704378242
1571.322467593002	1331.6160568030969	908.8729965362475	5094.226182583498	216.1155132568799
1564.87786567406	1328.1339241619723	907.5967657211893	5071.41327530248	215.8696973255832
1558.433263755118	1324.4523845693059	906.3882652328825	5033.000348851685	215.33273634308853
1551.988661836176	1320.2010277336199	905.6911131077587	5006.00125757108	215.01403502648466
1545.544059917234	1314.5299418293644	904.3498809521957	4971.085176564511	214.52545818739364
1539.099457998292	1311.560978772351	902.9858307261056	4948.184946677843	214.78185342427506
1532.65485607935	1308.2626204553376	902.499685349154	4917.955118903786	214.5726524726645
1526.210254160408	1306.1569490367126	902.1866130245747	4886.703232460401	214.15890719083413
1519.7656522414661	1303.4267362009762	900.5657448899136	4864.153448229263	213.85912483763153
1513.3210503225241	1300.1091377438474	899.3368559166718	4837.586274892767	213.04128971668584
1506.8764484035821	1297.0352835311298	898.537371568003	4823.159418822081	212.20458949333658
1500.4318464846401	1295.0495736957848	898.0684127942842	4812.300617486423	211.46547267198693
1493.9872445656981	1291.9799511879462	897.1335359094526	4791.371372515402	210.63331667046538
1487.5426426467561	1290.567738284807	896.9204970699907	4776.525421154743	209.92813479477934
1481.0980407278141	1288.3038080604922	895.631956656587	4757.8513206079115	209.74049354793607
1474.6534388088721	1286.115235999646	894.8612286696822	4736.782454791897	208.8747937918254
1468.2088368899301	1283.8065764245234	893.7739298963519	4720.338532102068	208.41946081505412
1461.7642349709881	1280.1589747252144	892.1094659738521	4693.249652459089	207.40354663647534
1455.3196330520461	1277.014115646733	891.1830900786678	4666.389298995168	206.46618295627607
1448.8750311331041	1273.8995161550258	890.1312505537227	4647.749959738758	205.48992672593852
1442.4304292141621	1269.497221870733	888.7350827725087	4629.664777354327	204.65097458668026
1435.9858272952201	1266.9809245249776	887.6766002560187	4614.180094181508	203.70769292817866
1429.5412253762781	1265.2281425152748	886.948661321148	4598.102927255546	203.21633606673933
1423.0966234573361	1263.4790848699854	886.6280336447306	4585.089388217615	202.41161022120355
1416.6520215383941	1260.4553625216072	885.3964847139807	4575.265561331534	201.53312399807186
1410.2074196194521	1257.947247510752	884.6009448369837	4563.969021953407	200.92051706957662
1403.7628177005101	1254.9197105226829	883.1495009197849	4547.92392685682	200.19965688542888
1397.3182157815681	1252.3307101278083	882.3802254048454	4530.169082630671	199.84711335564057
1390.8736138626261	1250.3694475792238	881.2518564534613	4525.696289243146	199.19427483602746
1384.4290119436841	1248.3811139671986	880.5419587033839	4518.057438207783	198.3522901915086
1377.9844100247421	1246.2654594778535	879.2626832988525	4507.226470255128	197.5706322460069
