	Bayesian Skyline: ref_25_merA_PAI_combined.log			
Time	Mean	Median	Upper	Lower
2013.0	10909.502737513358	5095.464754841957	54202.97894355368	1070.4188940166885
2005.2585441126807	8673.925784176417	3691.520023192974	45735.21916879247	423.97457350386367
1997.5170882253615	5831.9311970193685	1822.5901289717951	34182.47873407675	191.73496692037577
1989.7756323380422	4427.954623492327	1131.6870714254032	27424.87158988062	142.35285862478307
1982.034176450723	4115.141092251283	1155.1049537067056	24298.08562651652	146.1680365439565
1974.2927205634037	4513.354251677944	1754.9031122862416	23128.54910488569	266.0718815629896
1966.5512646760844	4849.008622550148	2278.7810934567037	22476.24333253246	421.469936109207
1958.8098087887652	4816.177129957319	2382.9821671974555	21546.37852569579	459.68292300471535
1951.068352901446	4612.902406579373	2340.293033499828	20458.836021490926	445.2697433253228
1943.3268970141266	4383.121499550186	2266.977093476344	19185.767591501884	424.9582471878155
1935.5854411268074	4129.941862983413	2171.842006624163	17922.05071434968	406.1730176876921
1927.8439852394881	3921.214396993434	2094.4457328882854	16751.51538391498	399.16572514475087
1920.1025293521689	3738.443965306742	2045.5070810712036	15597.828089032273	398.57365057171694
1912.3610734648496	3603.5395446965113	2020.1196350392022	14642.398533068825	399.8707950707923
1904.6196175775303	3498.9886536605973	2024.0959242352938	13816.884574854947	407.8473268337945
1896.878161690211	3442.5846661599517	2052.9938617506364	13255.202273817707	426.6992107818006
1889.1367058028918	3414.267633465701	2091.092382094373	12818.892505382502	445.24970397452705
1881.3952499155725	3415.548037268202	2159.567516669946	12458.694656541988	464.1448034262123
1873.6537940282533	3436.093282270682	2232.82541975622	12296.959344406161	489.17304448790685
1865.912338140934	3481.9209327716367	2316.447493963328	12150.938027739481	517.6281893424142
1858.1708822536148	3547.2266678462342	2410.1476157402217	12105.392994643249	546.9397841964022
1850.4294263662955	3622.5247596462636	2504.496833021207	12199.815899293866	580.0952573147266
1842.6879704789762	3688.679717624017	2595.5739715358795	12228.015160963787	621.3560171479741
1834.946514591657	3761.9952785688147	2679.0045729729454	12364.730894995442	647.259011477348
1827.2050587043377	3820.7930521260178	2754.4663624754603	12403.266009320134	666.5054892224396
1819.4636028170185	3880.184758299762	2821.176662002078	12519.158553831334	688.9973259443933
1811.7221469296992	3923.6028704950286	2881.838983438952	12538.719338928971	699.4973457016083
1803.98069104238	3962.211967050146	2933.2849254176326	12653.559412873105	719.2494701918428
