	Bayesian Skyline: ref_25_merA_POK_combined.log			
Time	Mean	Median	Upper	Lower
2015.0	376297.7806445284	201867.46861303583	1734491.1724472006	40041.835859443476
1989.4595182788241	374980.2010430709	200985.86821441533	1726372.2801899982	40210.40060998716
1963.9190365576483	369137.8949637997	197443.13420119564	1696464.852901181	39151.11872038399
1938.3785548364724	357663.4750958147	190983.86217002638	1632929.5463719994	35588.47392190994
1912.8380731152965	342229.75188245816	182059.4846641555	1574426.383485105	29975.873228834243
1887.2975913941207	322358.69396069914	170473.45085301276	1491961.2277880071	23215.431139588658
1861.7571096729448	300739.0656654291	156454.53755035088	1416162.88142714	17271.847093608347
1836.216627951769	277779.7186089498	140582.4912778665	1331806.6704320745	12675.096403187034
1810.676146230593	245874.42622144008	118389.56298607257	1217874.7526606866	9110.91406577584
1785.1356645094172	214731.10782108453	95693.24473525253	1101884.6119883743	6781.630820159473
1759.5951827882413	187670.33641638918	76948.15178728703	991382.6589877034	5647.772656222911
1734.0547010670655	163081.12244762294	62613.28280291765	883374.6894853492	4844.787573105228
1708.5142193458896	143902.71847384263	52895.24574297282	794231.0698755685	4197.1833877228755
1682.9737376247137	127782.92958961593	46468.05900788981	721004.2851239237	3673.395988463915
1657.4332559035379	114167.98315528073	41915.49945202835	647365.6910923843	3249.8512338669434
1631.892774182362	103185.04821110878	38502.453349233045	580149.7086512592	2905.8522517723036
1606.3522924611862	94192.07908745942	35476.49533756072	528015.4630134426	2584.3359423128363
1580.8118107400103	85971.58044072497	33170.67526070996	477878.82418783085	2396.062521522385
1555.2713290188344	78727.423082176	30814.08554686893	433198.6382626031	2240.6797221156658
1529.7308472976586	72895.13088010954	28707.580927029652	398268.10055775766	2112.486984689113
1504.1903655764827	68085.58868096818	26734.13492458943	367478.1055413683	2025.9439500641554
1478.6498838553068	64118.41474631184	24964.54352787896	342316.11328250926	2023.640428806016
1453.109402134131	60001.445239630644	23324.684542927058	317561.32299281436	1966.0720776193916
1427.568920412955	56794.54311095515	21885.890867581613	296279.04910875304	1958.9488086306255
