	Bayesian Skyline: ref_25_merA_PUL_combined.log			
Time	Mean	Median	Upper	Lower
2015.0	215727.85809075195	97323.86086850682	1099035.4306869532	13759.309314772097
2005.463718042144	215702.62498245868	97318.33490774881	1099035.4306869532	13745.078925401389
1995.9274360842878	215484.08827867574	97103.12801457936	1098224.8465544041	13544.789216315761
1986.3911541264317	214741.6084150459	96458.05576179501	1095490.8559544964	12824.555263677319
1976.8548721685756	213569.0706563553	95592.02305850464	1093552.4225962444	11633.594923492818
1967.3185902107195	211364.14081785467	94086.95902878769	1088769.8251202533	9771.484491782994
1957.7823082528635	208014.95303860775	91745.25540149426	1078046.1464990128	7810.5906219414355
1948.2460262950074	204216.45209594548	88808.87769573585	1067615.1855448724	6441.487749882639
1938.7097443371513	199862.89793353927	85410.52151278923	1057640.676846646	5607.872995414111
1929.1734623792952	195590.03227678145	81948.24151094629	1047288.1894788013	5183.922148193666
1919.637180421439	191099.89762828196	78344.09084024695	1033732.224161598	4994.829921046536
1910.100898463583	186467.92720084527	74345.1019219507	1017649.4313466724	4899.043613072393
1900.564616505727	181557.29325286928	70269.7396543838	1001097.7270525518	4539.955632703402
1891.0283345478708	176086.58468723664	65635.13664324183	980941.6562188369	3988.0201484682507
1881.4920525900147	170470.16058497567	60134.6050367847	965396.631497118	3631.4868038798986
1871.9557706321586	164059.95142746216	55120.658762150466	947438.5203201289	3451.2415278799494
1862.4194886743026	158601.96292828515	50327.407691341745	928847.4748793346	3282.2753569373667
1852.8832067164465	153422.96982202632	45859.95863399851	907987.0443328967	3215.782564582089
1843.3469247585904	147971.69175669533	42138.823916038404	890972.2037377822	3165.972327908496
1833.8106428007343	142753.0493826078	39046.02861271528	873240.4632656773	3111.197380984002
1824.2743608428782	138090.45855198795	36631.592371998355	852876.3179631531	3037.637542056014
1814.738078885022	133261.2658623523	34709.368889604346	830466.3074644492	2926.3621519889493
1805.201796927166	128870.8610625438	33329.544710969436	809959.9009114654	2795.2109719983714
1795.66551496931	125004.02895939552	32058.770995953168	789864.7501551756	2712.2868312386877
1786.1292330114538	121318.32158879317	31068.580265008517	772513.4440947084	2621.7325208690754
1776.5929510535977	117834.62337292601	30246.697902923028	753308.4867581343	2490.973569172326
1767.0566690957417	114582.48857527193	29618.44529965751	735054.796202003	2411.6954031783407
1757.5203871378856	111523.80811948414	28993.978631661972	716636.5926749088	2313.3226719550103
1747.9841051800295	108297.47220061946	28463.25327478921	695809.0028091299	2217.208831441384
1738.4478232221734	105128.78901245764	28039.677340089966	679480.6334248635	2096.4813588999923
1728.9115412643173	101839.29881075813	27565.87087791865	658951.9067604262	2061.5944110786495
1719.3752593064612	98569.70227596063	27289.474662579196	635775.3080709504	1989.3061995787614
1709.838977348605	96319.24845902463	26933.083119413306	620404.2378052726	1924.2717191617032
1700.302695390749	93803.11833509743	26622.359730330027	600146.4801260356	1869.115306065708
1690.766413432893	91581.61379239752	26373.499567868665	588255.9901608265	1802.4494724151355
1681.2301314750368	89484.28041799157	25950.145484748893	573676.0244380569	1760.1242537528242
1671.6938495171808	87601.8249725941	25642.33251183524	562775.5339655321	1715.772401440304
1662.1575675593247	85675.56761383763	25389.33596837721	551260.7084129727	1643.3454542929546
1652.6212856014686	83571.55860041037	25040.92466001991	532795.5071844852	1591.5416200282482
1643.0850036436125	81753.51327316782	24704.993547154776	518660.28049087024	1553.573312517952
1633.5487216857564	80019.97622451962	24380.022708800265	508666.2889898952	1538.9896949891738
1624.0124397279003	78328.01753363175	24088.912795576507	494152.62253992085	1512.53536654455
1614.4761577700442	76731.0424449912	23792.044633607868	481238.32219988765	1484.1215522629084
1604.9398758121881	74924.6664456992	23457.80426607299	465695.4767642066	1457.9205737990353
1595.403593854332	73689.24110137988	23129.947113104612	456918.4671543692	1425.9444553762391
1585.867311896476	72328.23424213259	22723.007294414525	446072.07156126597	1398.5151295778555
1576.3310299386198	70973.82265205614	22428.11303369802	436585.68901557475	1361.3200072515444
1566.7947479807638	69812.04562621684	22023.498588802213	424825.2870066341	1336.4964853070494
1557.2584660229077	68503.97512102664	21665.074427675172	414445.60951070563	1315.521746798344
1547.7221840650516	67174.61357589794	21399.15721559497	402816.116725865	1295.8338662310205
1538.1859021071955	66058.01042155927	21084.08845392774	392008.6100386847	1279.647279248155
1528.6496201493394	65056.63909512505	20726.463641032424	383809.15027124493	1249.076948237469
1519.1133381914833	63659.6120729394	20298.328609974953	373915.35065460665	1231.5896587576397
1509.5770562336272	62596.865482507856	20033.698469282746	365168.1718776018	1196.8391339886166
1500.0407742757711	61397.22209997129	19728.728561287113	356431.6970331034	1167.9523591829343
1490.504492317915	60239.09214250318	19394.35884575244	347093.69770627294	1144.318488458907
1480.968210360059	59308.510727033856	19065.30333963196	340141.496205386	1131.213630596916
1471.4319284022029	58257.36049471609	18773.31734677927	330435.2061308364	1117.916424164008
1461.8956464443468	57287.14818763539	18478.638623616083	322719.80097835674	1095.517396626345
1452.3593644864907	56563.7605241387	18157.751672661703	314833.86747906025	1085.1374731903973
1442.8230825286346	55648.83261235236	17912.82545087403	306699.9029886117	1075.5691877525912
1433.2868005707785	54811.38943649855	17626.219564822008	299648.84116146225	1057.144150877362
1423.7505186129224	53979.13598279083	17332.257213197536	294547.8209502309	1037.243519348315
1414.2142366550663	53366.023510159226	17041.48052433014	290345.1818717514	1022.4995684937362
1404.6779546972102	52417.38312952165	16773.546022028644	287100.09412704385	1000.9626433024986
1395.1416727393541	51825.61287899853	16538.004606116487	280882.47513476067	987.9512147652201
1385.605390781498	51044.267581392676	16307.680112172684	275300.0656823964	973.156013789028
1376.069108823642	50441.441713153596	16026.408013060875	270816.3704294442	961.8140305551807
1366.5328268657859	49846.04271930251	15830.780684774494	267028.14381374174	944.8110269408088
1356.9965449079298	49116.47703538453	15644.847057723307	262576.34505628265	932.3218704452644
1347.4602629500737	48604.626837039046	15433.148261399367	259591.20742883167	920.4029958600695
1337.9239809922176	47827.917756433744	15178.762563754128	255847.90104511537	910.5619951215062
1328.3876990343615	47365.47907236924	14907.633594861847	253589.0362850971	899.3348186109946
1318.8514170765054	46856.771645916844	14711.281355432422	251428.54388692294	890.2137959674469
1309.3151351186493	46278.71808816013	14494.37729089334	247083.91967406796	881.0450371019143
1299.7788531607932	45744.41542638722	14316.645748387731	244337.17802831266	868.1441301880693
1290.2425712029371	45299.31587820942	14134.68430959254	241005.79332036787	858.3314776692026
1280.706289245081	44809.73921758504	13924.309473296915	237364.86335709272	848.7422719060694
1271.170007287225	44294.916792273434	13761.371400030199	234630.31385294287	834.9088150462451
1261.6337253293689	43860.511998694536	13570.969658539945	231779.17501811427	824.550412034987
1252.0974433715128	43463.12740997848	13401.14846792537	229661.17663601716	817.3215685738531
1242.5611614136567	43009.00194472288	13210.329153871855	227184.89909785808	812.6399959691021
1233.0248794558006	42522.492246243084	13080.410065452075	224741.48606221526	798.8877581978438
1223.4885974979445	42070.39174005225	12934.262070103221	222701.36419147797	791.8050706348104
1213.9523155400884	41717.66760820603	12759.518139802754	220811.44354751642	784.3262847754064
1204.4160335822323	41260.134872229595	12604.512800887378	218071.55410933396	770.8247179530229
1194.8797516243762	40914.154947655	12477.491223100846	216143.19788949974	761.5672151100619
1185.3434696665201	40612.04516376675	12372.528371835731	214816.52461802523	752.0825321891241
1175.807187708664	40317.95133987335	12248.189328717313	213307.07837776133	745.972875271328
1166.270905750808	39962.09691436402	12109.342502912217	212111.50346818526	741.0563827880084
1156.7346237929519	39211.726933216065	11973.546932881574	210309.10827955222	733.6325745247226
1147.1983418350958	38807.72000751037	11855.292362517339	208435.55248317044	725.2352418173917
1137.6620598772397	38499.001802202496	11726.799342051772	207903.0027393126	718.4484822629521
1128.1257779193836	38170.40098223788	11620.822123812542	205872.81481630227	708.5509595710322
1118.5894959615275	37846.89196568068	11515.384369361185	204327.9029453547	704.5523141635472
1109.0532140036714	37477.98106826841	11386.622172391295	202348.5541521174	699.484580558147
1099.5169320458153	37158.792975253506	11240.688258181772	201098.9796067311	691.4685487499173
1089.9806500879592	36846.90998103096	11144.293607838934	199747.21479501872	685.5631674309296
1080.4443681301032	36540.48873553517	11056.096039014286	199041.86435574683	682.2184515810054
1070.908086172247	NaN	NaN	NaN	NaN
