	Bayesian Skyline: ref_25_merA_VUO_combined.log			
Time	Mean	Median	Upper	Lower
2014.0	55639.77515910138	26869.078166010564	273366.39477921074	4870.599976338625
2003.929694553765	55638.71468839274	26868.88115906585	273366.39477921074	4874.431277389822
1993.8593891075302	55629.589831809964	26864.59031935324	273206.48571970063	4891.397616942518
1983.7890836612953	55585.71049747238	26834.870260889125	273027.21946590475	4891.327647692285
1973.7187782150604	55496.45627981523	26770.6745188559	272611.2967260306	4853.613235733499
1963.6484727688255	55072.00526775755	26481.626746212678	270394.66837961006	4653.743118549336
1953.5781673225906	54170.758862153525	25942.17741619641	266384.823493723	4214.643307577083
1943.5078618763557	53041.92844318492	25209.705783483856	262692.9356444793	3656.6570332431866
1933.4375564301208	51652.38188415871	24254.34249167339	257446.21107134814	3072.6900034005466
1923.367250983886	50153.24702162367	23236.547716761554	252211.48067512526	2591.9033953282806
1913.296945537651	48446.763382529265	22082.238806284804	246701.75017197296	2206.018260420575
1903.2266400914161	46007.249221313774	20259.369618444114	239438.84565093205	1561.6464182949735
1893.1563346451812	42622.18699848983	17618.695606682475	228660.20610930264	1121.4287764900998
1883.0860291989463	39385.90653017614	14988.480866384822	217489.25555127946	1020.7932888928833
1873.0157237527114	36589.2613044642	12712.872372515414	206972.5286047894	1029.164634981081
1862.9454183064765	34256.360836534746	11051.460183693454	196663.61830343498	1073.402270361725
1852.8751128602416	32203.063316774937	10114.553097877044	184963.473826364	1126.6366889443034
1842.8048074140067	30394.578028855623	9634.786872494478	175660.6667011716	1196.1418236631594
1832.7345019677718	29020.859123439768	9480.682535932772	167703.04685140526	1264.3391946403315
1822.664196521537	27871.484416999396	9474.539846005251	161018.68413756008	1333.33478783595
1812.593891075302	26867.071107588214	9532.37769675736	155172.39657787437	1387.314142770573
1802.5235856290672	26011.579069492236	9691.986541980328	148129.06226187255	1461.4595848984363
1792.4532801828323	25337.744534835896	9902.905986603262	142104.2471076091	1520.0524146079472
1782.3829747365974	24712.74523735492	10139.379499733355	136542.34880576044	1575.4622085205624
1772.3126692903625	24270.174690827735	10365.018202334562	131270.76478589055	1619.003037791504
1762.2423638441276	23937.945223602605	10607.275041458824	126442.40506380603	1673.3964555124942
1752.1720583978927	23714.47079503241	10882.604464973234	122703.5765954965	1717.4851085536982
1742.1017529516578	23411.74055020114	11145.397906184071	117937.30624091496	1739.3779545940151
1732.0314475054229	23263.26817013899	11399.140571941292	114098.67601239958	1761.9227070765564
1721.961142059188	23059.12348957655	11645.458948833206	111117.85260145283	1787.4036193086463
1711.890836612953	23036.932539772788	11905.106821411176	108524.50643788365	1794.9312417532365
1701.8205311667182	23001.083976194845	12156.829608418855	106214.37493063943	1808.9633234455553
1691.7502257204833	22911.529003447224	12401.173588355798	103418.42929873601	1819.3602200729638
1681.6799202742484	22876.47136041911	12633.523638499992	101119.50072244786	1819.465757874753
1671.6096148280135	22876.532660356337	12862.337764307364	99253.01697184822	1807.5442047288425
1661.5393093817786	22870.956524186648	13095.012232876972	97532.53692942426	1801.3945162246964
1651.4690039355437	22890.13025580379	13304.998365412832	96164.2638737119	1788.9951119214022
1641.3986984893088	22876.794216868093	13518.825453216188	94741.63653354874	1777.9424933614775
1631.328393043074	22923.03822236237	13693.184424812714	93807.1521886502	1772.535944287489
1621.258087596839	23032.817440744177	13896.934542475241	93262.47969675284	1742.2263200473285
1611.187782150604	23084.278621233374	14055.624102074398	92680.39748582066	1717.4724895350073
1601.1174767043692	23196.516171118936	14233.505535537	92575.89124016647	1696.1855170064239
1591.0471712581343	23276.878850652436	14396.185469782331	92406.36035563792	1681.3689352635074
1580.9768658118994	23357.759813184835	14551.992031412232	91904.29656466485	1647.3329225015725
1570.9065603656645	23427.934208762006	14710.081748264072	91697.95242820018	1630.19520594948
1560.8362549194296	23491.85628995841	14868.192788210437	91168.303215552	1601.3473633514889
1550.7659494731947	23592.202128817604	15008.999412066198	91049.02449858247	1562.884628482587
1540.6956440269598	23687.300186297354	15141.925138727871	91230.82013687579	1540.1983607215645
1530.625338580725	23772.299093139824	15267.933002560438	91162.43865956685	1515.0614821114318
1520.55503313449	23832.820847740637	15383.670413775575	91393.58044281704	1492.3398009796572
1510.4847276882551	23930.543016220898	15498.279122002865	91879.99395298521	1468.8368286252469
1500.4144222420202	23990.324281804715	15577.29559150482	91998.8966268042	1443.5564881768735
1490.3441167957853	24057.982800786536	15682.812951207969	92296.20636457227	1425.156383451135
1480.2738113495504	24151.115612458074	15774.084986204358	92719.3991968266	1398.585428446843
1470.2035059033155	24217.693133786594	15862.562151159784	92855.75274829198	1381.5546658878457
1460.1332004570806	24284.19111495207	15942.328637380453	93177.44649993838	1357.2735677139137
1450.0628950108458	24353.60810405322	15992.614128809531	93534.45291086401	1334.5680781855276
1439.9925895646109	24416.870354039245	16046.557942370457	93618.61804224945	1311.7740666028947
1429.922284118376	24476.154436077202	16090.745181255963	93977.17241767194	1293.0579953699103
1419.851978672141	24505.954818500908	16143.913479319546	94311.95876116789	1276.2949153743193
1409.7816732259062	24593.90092931758	16193.31366797572	94812.19627462179	1260.4941511829952
1399.7113677796713	24605.515894133143	16210.034480774855	95147.67652553922	1252.1396889718478
1389.6410623334364	24665.385887713066	16218.543164067163	95611.59227442599	1232.770084212973
1379.5707568872015	24715.138834049005	16227.244005448087	95992.29192815944	1203.8141349969335
1369.5004514409666	24761.00857260025	16236.511949847145	96166.62826409243	1195.0671218859713
