	Bayesian Skyline: ref_25_rpoB_AQT_combined.log			
Time	Mean	Median	Upper	Lower
2010.0	398373.5560279287	252323.64250504828	1507235.5163246745	83252.81768886144
1911.4210830195816	386751.3962915232	249299.73414602215	1434762.7399974784	83503.92030066764
1812.8421660391632	337639.1396053377	230283.0142844774	1201610.4050099168	71182.01213516158
1714.2632490587448	185957.39697100487	124905.52067014578	700880.6426844042	25515.913767978564
1615.6843320783264	186117.13823663705	147931.70337096605	558928.844527239	42881.518544868086
1517.105415097908	352393.2293244328	263781.1197167116	1109800.3285848452	73531.43312484938
1418.5264981174896	570739.6235876664	459673.09725753526	1600362.996465673	112234.93231195636
1319.9475811370712	768702.1763460535	669329.9008316236	1963782.1185594157	158711.50505624796
1221.3686641566528	921477.4276162691	819390.4068653536	2257880.696406213	212468.62898949094
1122.7897471762344	1034811.6530136847	920554.0150010312	2475882.9992373805	268519.09236413054
1024.210830195816	1116976.2122720047	992298.8535036182	2637900.221673698	323877.1972917727
925.6319132153976	1182166.6779113293	1046925.63347796	2780135.993612355	368861.8553499257
827.0529962349792	1234426.1381490857	1089705.1486892593	2895839.1032756725	406268.0996643482
728.4740792545608	1277652.8961497108	1125225.277449293	3009426.215911954	434744.9530983618
629.8951622741424	1312930.2527929354	1156284.7482501224	3090147.4972530664	455011.99953327014
531.316245293724	1341491.7622335302	1179684.6104872262	3157835.2324705105	470192.3980727027
432.7373283133056	1367563.4475673456	1200397.1803950535	3247376.269448006	481445.1626878874
334.1584113328872	1389688.6671062298	1218878.4790129834	3310509.7054400854	487722.4865859613
235.57949435246883	1407420.19096557	1232680.215695183	3373382.78362882	490967.0328725889
137.00057737205043	1423661.7156761566	1245570.230291235	3423441.1962164203	491130.8603937328
38.421660391632045	1436104.377590085	1255353.4111515963	3461466.923372365	487088.68959798454
-60.15725658878634	1445815.9900290468	1262875.6069694203	3494821.0100405095	480631.54766139307
-158.7361735692047	1453859.0100358268	1268490.6261706736	3538106.2960633803	468747.15138358215
-257.3150905496231	1461697.8497986046	1274388.4372771287	3577251.0981652075	457556.4858955802
-355.8940075300415	1466200.8646126294	1277633.206625401	3615260.4977819542	439858.09872398654
-454.4729245104599	1470679.6161396324	1280734.5925812763	3637115.3393313116	420170.0915496004
-553.0518414908782	1472784.9123978035	1282089.90829201	3667670.8584596524	395204.2474983916
-651.6307584712966	1474158.09553413	1283126.3049596425	3699129.036725149	370006.08970063925
-750.209675451715	1473339.568699518	1282673.60718682	3721354.1602989654	342259.52117532195
-848.7885924321334	1469997.5563348795	1279838.620353728	3733460.138139087	315006.7171329927
-947.3675094125518	1467854.560733201	1278838.9493458557	3757985.1525835698	289139.8376177258
-1045.9464263929701	1463277.0127055955	1275456.225928308	3776990.3535783105	267843.99546041805
-1144.5253433733885	1457302.004694226	1270398.1197010851	3794030.2578848223	247219.2043616772
-1243.104260353807	1449441.0652556254	1264502.5418626256	3805815.6820776146	231729.38519980095
-1341.6831773342253	1441395.405529958	1256932.6881806238	3814685.661859701	218326.02224731754
-1440.2620943146437	1432560.241086484	1248640.452836687	3832728.5867477586	206298.5229534998
-1538.8410112950621	1421606.857556279	1238421.6854295253	3843409.7423414686	197136.0126802909
-1637.4199282754805	1410928.694303794	1228539.8651944897	3855446.2789891786	188945.89470605325
