	Bayesian Skyline: ref_25_rpoB_KEV_combined.log			
Time	Mean	Median	Upper	Lower
2014.0	184764.99258723063	106249.64858683816	787824.063626217	30396.33710832923
1948.964335836019	184764.99258723063	106249.64858683816	787824.063626217	30396.33710832923
1883.928671672038	128572.59984396177	68328.00662687136	591253.8721080514	10152.399260064372
1818.893007508057	84010.15959404416	50582.44478750351	349734.7981237054	11509.059414223344
1753.857343344076	221786.2312660314	171343.44645584954	676566.781131103	31082.963171453695
1688.821679180095	337696.7429203165	287811.5718886581	906560.9862359095	64449.1603135499
1623.786015016114	416731.1475026407	359390.6997744617	1065702.6353147542	104111.271760281
1558.7503508521331	470159.2816274695	404372.6490400095	1185737.819102412	135334.43318401725
1493.7146866881521	509016.39731716056	435646.48184973537	1285481.9974060627	155573.73726348937
1428.6790225241712	538236.864343955	458823.2164187986	1367380.9295931014	167773.86294092634
1363.6433583601902	560401.8481684142	475611.70815367776	1434041.8612164934	176135.41181257763
1298.6076941962092	577760.5956432775	489010.74728175224	1486736.1775627143	181704.62858969357
1233.5720300322282	592242.2725843681	500368.19700628467	1532354.7954679588	185947.53988486662
1168.5363658682472	604236.7455466983	509316.9776315569	1572995.4055503835	188367.75448559417
1103.5007017042662	613947.9327534301	516407.29260850383	1607169.5838621373	190933.08143666646
1038.4650375402853	622750.1507134752	522770.70964241563	1639937.1101576723	192630.65219392363
973.4293733763044	630097.7335131397	527927.8533673689	1669246.6017811238	193632.85591875025
908.3937092123235	636505.7096682128	532484.5787253781	1697600.9567506886	194272.40108231036
843.3580450483427	642287.6948503806	537146.9845342673	1718506.423436076	194216.06808853618
778.3223808843618	647359.6666417136	540758.212653657	1739518.099733921	194393.25056618956
713.2867167203809	652047.5745135141	544463.2271047081	1756107.947104385	194447.6257347891
648.2510525564	656318.2634549276	547610.1095973236	1773489.55184054	194272.40108231036
583.2153883924192	660601.1051223028	550357.266012271	1790462.8117851184	193084.1525083327
518.1797242284383	664358.6121633382	553862.3163808268	1803545.987630306	191953.4778569347
453.14406006445745	667628.5409451701	556982.4713590298	1813063.8208477562	189683.7521287642
388.1083959004766	670646.6633983699	559437.3124145939	1824631.969223077	187239.4481490509
323.0727317364957	673699.1400014109	561757.1829164583	1836377.798674926	184960.5177383343
258.03706757251484	676474.5252075024	564153.2313342473	1848907.0353184473	181274.62577176784
193.00140340853395	678920.6392603825	566395.9909899797	1860369.2541751678	176604.3526636341
127.96573924455305	680665.2154891691	568211.1020654667	1867544.19581318	170240.60554949913
62.93007508057215	682534.7034642176	570395.6554927498	1874962.8643135126	162662.60468843652
-2.105589083408745	684127.870209486	571723.1097051476	1885239.240704949	156013.2986977731
