	Bayesian Skyline: ref_25_rpoB_LAH_combined.log			
Time	Mean	Median	Upper	Lower
2014.0	3767.815164518326	1787.646593850602	18184.8394310042	446.57808606187393
2003.346115188751	2902.084836213288	1722.2344184107292	11386.455221152613	425.9965511447636
1992.6922303775018	3037.244322810748	2128.8257074417406	10208.983266285848	488.4519733212278
1982.0383455662527	20492.124867015104	13110.186472429838	76615.9176893394	1946.7557312138233
1971.3844607550036	38908.89089189639	32483.79010827869	109930.68832231566	4635.49005848782
1960.7305759437545	49814.88468169367	43564.04325237903	129643.78437251959	8288.025797243476
1950.0766911325054	56737.87238401954	49850.36219837071	142667.614691078	11900.864435442982
1939.4228063212563	61699.18635606058	54104.4290081169	153471.6094599969	15048.771429034445
1928.7689215100072	65609.17578417774	57426.876768455266	161588.19366347234	17846.46786517146
1918.115036698758	68950.9282396728	60213.913749325075	169029.43866418235	20171.17967066666
1907.461151887509	71847.28535332617	62545.060125118645	175805.95168106962	22144.611998386532
1896.80726707626	74452.4352496281	64688.454851033064	182437.02897658257	23801.4430863659
1886.1533822650108	76839.58269216483	66575.02119195969	189378.88061877512	25278.378376834567
1875.4994974537617	78972.48977596579	68249.9584655436	195325.68334838678	26379.383339824122
1864.8456126425126	80855.85366858986	69706.67722285973	200856.3277907661	27176.871692502016
1854.1917278312635	82524.43414588251	70968.5635846208	205821.62277289073	27730.186876396983
1843.5378430200144	84021.67161484387	72037.85234999876	210701.52225573215	27967.466715403745
1832.8839582087653	85352.4320314578	73014.71667940631	215268.59023555837	28108.654650839133
1822.2300733975162	86511.75977459177	73852.23479365652	219665.57248677863	27909.471774353107
1811.576188586267	87369.73651536739	74419.28971032819	223456.86950273238	27305.085005163717
1800.922303775018	88039.89260682678	74893.23079672673	226514.23542695708	26615.673413627384
1790.268418963769	88600.61273657509	75202.11335002276	230075.39728877702	25259.612871691126
1779.6145341525198	88920.38518630713	75378.40167565079	232715.14085424907	23482.955530499283
1768.9606493412707	89147.3374888855	75470.76896185875	235685.8369723858	21395.994944938167
1758.3067645300216	89133.16099259927	75419.55817174516	237479.7398204098	19093.788571841218
1747.6528797187725	88995.96359581337	75262.25532839213	239930.55547022272	16930.2604397281
1736.9989949075234	88672.92984429584	74918.35770895997	241601.4894133538	15307.01037555332
1726.3451100962743	88155.21325897086	74425.41542632504	242894.9253785467	13784.340833943936
1715.6912252850252	87516.98738401939	73852.23479365652	244343.54411590015	12453.046184254808
1705.037340473776	86883.19922286319	73224.72674520993	246026.65660311337	11389.328823045691
1694.383455662527	85972.02191657771	72334.0615690468	247143.52224660464	10543.239212438826
1683.729570851278	84948.36480071723	71332.70220720087	247831.36673641216	9941.059067391647
1673.0756860400288	83790.67322746755	70178.1859096629	248673.35352112917	9249.121474462476
1662.4218012287797	82638.65695962733	68858.88331815512	249786.0008880732	8691.022519973256
1651.7679164175306	81357.61839439195	67395.83877540355	250369.90624009309	8211.530811431816
1641.1140316062815	79976.39245202503	65727.24424245783	251116.2218472316	7763.076778225877
1630.4601467950324	78481.25852630445	63880.31907573553	250621.46442108473	7382.878834497751
1619.8062619837833	76949.90693510113	61926.735081678125	250039.01697676687	7080.281068114863
1609.1523771725342	75496.53432472191	59851.29319297444	249833.659634541	6727.038514138395
1598.4984923612851	73943.050828534	57530.32987025927	249479.942563104	6453.22488168529
1587.844607550036	72310.91300998496	55011.86410934539	248101.32046951578	6153.609859981821
1577.190722738787	70693.16360824414	52356.20902756192	247285.12596409715	5889.540413602863
1566.5368379275378	69116.77208047482	49580.53712808915	246686.71383555944	5654.7885597319655
1555.8829531162887	67460.5646923023	46798.0086197512	245019.71175969386	5419.621001620992
1545.2290683050396	65914.29336696	44182.4387372953	243881.98014839628	5260.295423837639
1534.5751834937905	64342.95433916153	41495.969170184806	242963.9285065616	5076.556441465793
1523.9212986825414	62780.25255407726	38985.60533544844	241440.34604822536	4863.347431302304
1513.2674138712923	61198.87042945795	36660.36805215958	240539.04205537427	4665.672675720213
1502.6135290600432	59648.735225833865	34548.059891063225	238930.71472108958	4478.4011451736205
1491.9596442487941	58142.424136364505	32663.943578437327	236883.8684795069	4283.813146730115
1481.305759437545	56684.40519491678	30995.39029313835	235361.04279922933	4093.525890065183
1470.651874626296	55235.17722341562	29525.838130503984	233773.35689397875	3922.6516137442354
1459.9979898150468	53857.069252465684	28227.233917268266	232183.8787083971	3737.8466606496127
1449.3441050037977	52440.03510785982	26979.04303151453	229951.9816274194	3565.773829915961
1438.6902201925486	51039.7352151937	25894.737619083502	227637.7790102092	3368.2074947042515
1428.0363353812995	49724.54548845289	24910.279976975773	225201.34806172654	3171.798412729635
1417.3824505700504	48409.674810088974	24011.87348699676	223277.75790540996	3024.475191408719
1406.7285657588013	47152.21944159339	23243.744936595023	220319.12653620122	2862.57741090751
1396.0746809475522	45965.208893620256	22455.006244061395	218276.05612153167	2682.7611064771077
1385.4207961363031	44809.490498472755	21753.4693709783	216950.93750917527	2521.4792207764945
1374.766911325054	43747.703450761466	21121.125872000077	214995.4438240437	2372.628755002369
1364.113026513805	42720.598604392086	20496.315211187488	213354.06063236223	2221.5926604951756
1353.4591417025558	41647.843908027244	19888.759166027565	210584.79469265335	2093.3635450441716
1342.8052568913067	40624.1509055238	19363.508046571067	208704.3398058674	1965.1995181274826
1332.1513720800576	39616.50632062507	18849.76806089403	206055.00482861916	1841.6822790688457
1321.4974872688085	38685.87963233814	18348.777096012956	203951.07026867167	1735.5662175016105
1310.8436024575594	37748.1955604096	17866.692322377185	201567.53374584965	1640.3550371506983
1300.1897176463103	36814.96171564461	17415.622426855745	199111.3945961549	1561.9757575575127
1289.5358328350612	35903.97916476868	16953.97438985065	196287.45340237147	1482.531056178946
