	Bayesian Skyline: ref_25_rpoB_OJA_combined.log			
Time	Mean	Median	Upper	Lower
2016.0	268727.4016569528	168341.8313280835	1063958.3342800029	47716.32447263548
1966.7817778552858	251114.49137780297	164108.16029924067	946291.5685554344	54027.19672953296
1917.5635557105716	216642.3669364305	149525.21333330704	755094.881776798	47999.44342904147
1868.3453335658573	153186.69376389674	110289.20214335232	545239.5043030756	16618.448552060145
1819.1271114211431	152101.51910600046	117739.85858844139	468808.8091596081	29511.69992411252
1769.908889276429	228530.98436209024	181449.73446361348	653061.359233499	49931.757306113206
1720.6906671317147	313689.79973757116	261835.1425241524	840803.5996005468	72594.98719288668
1671.4724449870005	391988.9956295095	336793.4339146989	1010332.2481652393	95052.70409610934
1622.2542228422863	462245.9468057825	402346.49378906237	1161252.6035161084	119088.7109503207
1573.036000697572	524290.3511336405	458739.51386326365	1295467.3629730644	142617.14430701794
1523.8177785528578	580397.7725014727	508047.6085803747	1411614.1273475785	166385.18352223668
1474.5995564081436	631183.7518412098	552349.7097120803	1529875.229607933	187650.68656917504
1425.3813342634294	676871.7461672026	591155.6478246469	1638215.3062775736	204389.234480819
1376.1631121187152	717742.8978559949	626738.9856404809	1748701.6526694759	216746.2061210117
1326.944889974001	753496.8902509644	657214.6214146159	1840720.6111998912	222512.69366999337
1277.7266678292867	784453.0079919995	682428.7299728902	1929043.0111535247	224890.21535429652
1228.5084456845725	811713.5132749262	705183.187550383	2015513.5533208954	220760.12848504575
1179.2902235398583	835337.9635649202	724638.355451537	2092603.1496040192	212692.28115459427
1130.072001395144	855479.0115702742	740595.9334076636	2164623.520403522	202222.3682905556
1080.8537792504299	873411.7931311151	754234.7643537612	2244995.7294728067	190479.9083410906
1031.6355571057156	888100.0496857767	764723.7949326503	2317164.415699709	177638.14753403506
982.4173349610013	900360.2966757108	772808.6156176236	2383808.356701552	167738.69906882665
933.199112816287	910580.8205892979	779651.0150172575	2446058.9616754204	156037.94330213385
883.9808906715726	918833.5123297188	783757.963776471	2500494.4388824487	146951.06039892102
834.7626685268583	924985.5945922569	786878.5254529841	2549174.075071842	139427.65213530388
785.544446382144	928947.2421936741	788140.1533065395	2592350.8931165724	133637.0997197089
736.3262242374296	932191.8631563361	787255.9091186739	2644843.506637524	126967.41915364616
687.1080020927153	933659.1117906771	785372.4576411768	2686013.286424094	122050.15271440118
637.889779948001	932842.5805764085	781502.9238995627	2717593.723145887	117900.17861863351
588.6715578032866	932211.923785592	776140.0672334473	2748997.3359427466	112726.37200072272
539.4533356585723	931138.83226691	771012.799388492	2777612.2310927273	107747.76327159232
490.23511351385804	929673.4316865265	763475.906210866	2811673.7536119656	104253.24413988479
441.01689136914376	926792.8512173793	754512.9784541703	2842526.3038894474	101119.25501176702
391.7986692244295	922343.5720070008	744922.1801591228	2863673.3900573826	97725.93797007353
342.5804470797152	918193.6990523599	734837.2729688535	2886689.2696526875	95335.89142983545
293.36222493500094	913960.849116277	723940.801177694	2910521.57215775	92743.29056326971
244.14400279028666	907762.6715429276	712490.5279592023	2925042.652257563	89948.3685208473
194.9257806455724	902117.5029533003	700594.1399220543	2942831.8312779106	88348.81129558895
145.7075585008581	894803.5237816414	686184.8781302833	2958062.8706241488	85746.28940915254
96.48933635614382	887638.4623442478	671406.2256467895	2969361.3211140805	83883.48980324666
47.271114211429534	881829.4201682328	657210.3569082207	2989282.1739033377	80564.295945704
-1.9471079332847552	875070.9679522337	643550.8025443895	3001606.5325908945	78703.02544840093
-51.165330077999045	867364.263695398	628836.523150681	3009434.7195095387	77180.26660760384
-100.38355222271333	858126.0629809458	613552.2599123681	3008671.6054259967	74886.52965993695
-149.60177436742762	850757.3690567355	599182.3036476162	3013204.6556288553	73315.77022733953
-198.81999651214193	842727.5052000022	584640.4969670908	3018912.9962917985	71829.91548536415
-248.0382186568562	835682.4490133411	571114.2738444497	3034158.528787354	70238.26011935581
-297.2564408015705	828339.1011096657	557686.3515728869	3043066.034347464	69190.96225874258
-346.47466294628475	820910.0796188622	544314.1127084702	3051200.6484703072	67647.13935329499
-395.692885090999	812636.7960285315	531845.2514681182	3045796.815540447	66454.50584094567
-444.9111072357133	805184.3052792775	518397.59602561005	3046622.043151351	65076.639020120354
-494.1293293804276	796904.4795977254	505518.9324631761	3041694.803034794	63780.14874050049
-543.3475515251419	788493.67299921	491967.8901250525	3038823.04081145	62233.04890666598
-592.5657736698562	780292.6756966936	479990.1114898561	3037507.307696298	61418.50317999833
-641.7839958145705	772132.3190014058	469308.2975868004	3036253.4209079146	60076.321115901315
-691.0022179592848	764590.6036599755	459224.6517042114	3036253.4209079146	59182.235360735
-740.2204401039992	756769.8490463854	449643.2903275627	3023481.1644070107	58119.03016536823
-789.4386622487135	748646.0772430027	441164.59033247636	3021103.156589117	57208.24122206511
-838.6568843934278	740947.6194296676	432386.4599208438	3013722.856939287	55895.50917753805
-887.8751065381422	732708.873835878	423731.10380477	3004242.0199119034	54721.92092298688
-937.0933286828565	725291.5566463053	416290.1075726894	2992595.530817453	53280.45119326261
-986.3115508275708	718153.9141413297	409628.1017455808	2983874.2962194053	52356.97557250861
-1035.5297729722852	710155.1494689164	403497.1125872547	2979059.7744141445	51011.76563331059
-1084.7479951169994	703051.3962746025	397401.679818558	2972222.9751620493	50042.105382631205
-1133.9662172617136	695446.9347498704	391125.8470709515	2963569.612776537	48629.66618475877
-1183.1844394064278	687927.1579644189	384579.46436065575	2955064.2322646626	47345.704399596376
-1232.402661551142	680171.9648132976	378482.6914639564	2939127.0758339176	45927.48382406529
-1281.6208836958563	673120.5939506642	373494.85421538027	2929530.8839267683	44346.409405430284
-1330.8391058405705	665756.5509176067	368115.88196643774	2922294.2781779184	42717.68130279776
-1380.0573279852847	658553.673574002	362950.10728122777	2909949.5153382495	41171.83462341047
-1429.275550129999	651632.9032424566	358041.96536511584	2897471.442892761	39823.24537677007
-1478.4937722747131	644613.2141869874	353008.6999345327	2889045.460550506	38305.7844370636
-1527.7119944194274	637983.4085418961	348468.57623375196	2878491.7759378366	37032.62664848842
-1576.9302165641416	631647.655074312	343118.6416793196	2873799.7275594217	35627.82893761369
-1626.1484387088558	625269.4311094063	338846.47930251586	2863673.3900573826	34091.55239322345
-1675.36666085357	618573.0082992407	334407.53617474093	2848536.3511916846	32481.23706541241
-1724.5848829982842	612016.0160792988	329775.17164921755	2838086.0291697276	31564.844126828728
-1773.8031051429984	605986.5898061623	325619.12581549084	2824844.035002818	29641.066616093398
-1823.0213272877127	599970.6625050494	321377.45296895545	2813837.75839622	28216.4626556495
-1872.2395494324269	594407.7881107692	316899.7834115631	2803511.266254801	26717.92990692873
-1921.457771577141	588340.3806431941	313213.6424739137	2786958.6374801146	25256.192115246755
-1970.6759937218553	582370.303620707	308703.63715111726	2774782.2077481872	23806.36039288936
-2019.8942158665695	576540.4979600301	304607.73831798846	2758850.1702956907	22338.332359074782
-2069.1124380112838	570914.6401319953	301368.6085771665	2744881.1316623334	21177.919315380932
-2118.330660155998	565288.2627429937	297421.75313914433	2730594.983493081	19894.76299741985
-2167.548882300712	560470.7900747859	293818.5403555964	2727145.6033618813	18623.53893990923
-2216.7671044454264	554956.0991428663	290537.2122001292	2715162.3455202514	17397.409238192882
-2265.9853265901406	549485.0219539072	287410.0703120665	2703318.507650374	16095.857826989579
-2315.203548734855	544111.4118227118	284146.3279438846	2680628.1511855	14966.272870203087
-2364.421770879569	538466.5737580766	281069.0386972461	2657439.5173479994	13789.769536690796
-2413.6399930242833	533914.2276312337	278139.3932014682	2642918.3614766262	12739.105047271145
-2462.8582151689975	528345.5287589289	274529.35494293587	2621960.9933238537	11827.981706966466
-2512.0764373137117	522959.9772035001	270737.4549252161	2601220.243392443	10835.858490497878
-2561.294659458426	518073.0647264126	267608.5390900372	2591846.0237128055	10030.456356119514
-2610.51288160314	512724.4610586443	264399.67173867434	2569625.331024988	9242.007905370889
-2659.7311037478544	507789.6906269996	261510.90187543095	2551459.151544133	8673.212346550625
-2708.9493258925686	503011.2674833549	258134.98143165236	2536187.3168350337	8105.709378982736
-2758.167548037283	498318.9983444103	255136.226999117	2514798.9435849385	7505.1802199025815
-2807.385770181997	493850.28535630717	252127.83260689597	2502315.5931387176	6861.58058125462
-2856.6039923267112	NaN	NaN	NaN	NaN
