	Bayesian Skyline: ref_25_rpoB_PAI_combined.log			
Time	Mean	Median	Upper	Lower
2013.0	301419.44524220604	192800.33175737597	1167210.501084268	60637.08612139728
1947.9668803548093	290307.6736904062	191649.58389889594	1076606.798229265	66140.54573780767
1882.9337607096186	263505.42908173904	182128.30272084707	934233.5813049912	60869.21141215902
1817.9006410644279	181604.35104764183	128383.6667114178	650239.8927016706	21728.25379695716
1752.8675214192372	222188.33632049256	160917.88668363215	756065.5060132657	38837.7895276899
1687.8344017740465	404033.96888250444	313256.39722385164	1204000.590346315	69163.8968029691
1622.8012821288557	563909.4396854986	476100.47977878863	1535367.3262023197	105322.01930027783
1557.768162483665	685119.6144008876	593277.1671209702	1780799.3973379233	143599.31129107607
1492.7350428384743	775062.498344505	671720.8378891652	1965927.5414295364	183344.4828501961
1427.7019231932836	843395.6934310433	730114.5536246187	2127595.0732619567	218466.69458341095
1362.668803548093	897591.2398195748	775255.5630025822	2264677.0993562895	248758.22288326576
1297.6356839029022	940418.0968826439	809174.4359870679	2373144.6971865473	275450.86525086494
1232.6025642577115	975263.3948741577	837572.8927968321	2463349.670310572	295539.24108957575
1167.5694446125208	1004014.5894804887	859705.6312211901	2541467.772020597	312217.33936005546
1102.53632496733	1029364.3332803139	879677.0248732468	2617272.1800299077	323032.1690870319
1037.5032053221394	1049933.633731807	895918.6052702204	2676057.3958674367	331685.5236263682
972.4700856769487	1068050.2348396152	910673.8179233084	2730047.7539869673	336944.0367917579
907.436966031758	1083932.4909606127	923513.2478920603	2773722.419623675	343310.740040763
842.4038463865672	1098279.8893885247	934701.2289524609	2821293.5053016287	347552.65436181583
777.3707267413765	1110796.6936153723	944604.989252336	2865534.0621895427	348813.02604062617
712.3376070961858	1121823.7269234315	952451.4753209151	2905318.6490540826	348098.01300876064
647.3044874509951	1131665.1885570963	960107.6780055601	2938546.6354275043	346431.75552622083
582.2713678058044	1140985.379661937	967537.1827544452	2976399.4794605337	344047.1196390541
517.2382481606137	1147665.681755386	973762.2327279651	2999692.663939088	339587.767840475
452.205128515423	1153782.4495298346	978821.9687242416	3020141.607889259	333146.5896104548
387.1720088702323	1159692.0577154884	983509.4974892962	3044544.889266246	326451.90423639584
322.13888922504157	1164918.5917898258	987515.6364798503	3068036.1010468816	318822.84958529274
257.10576957985086	1169921.8514244617	990251.5730000958	3108754.8743518647	310850.94725740334
192.07264993466015	1174263.405047337	993400.1060994212	3135668.656823761	301341.3579449653
127.03953028946944	1176624.4354549195	994472.8745471761	3148245.5895460704	293400.7176706199
62.00641064427873	1178431.920568903	995180.8535955807	3169017.775662745	284030.83688793075
-3.0267090009119784	1179959.21515674	996218.3582576211	3181709.7610797165	274788.7976083838
-68.05982864610269	1180618.445626718	996174.1298253381	3195943.7827216936	265864.4957853062
-133.0929482912934	1181423.7840599578	996299.11856312	3208573.9409903544	257360.37703822067
-198.1260679364841	1180582.2569113206	995228.9057145561	3218811.594290732	249036.86731450766
-263.1591875816748	1179765.2123455394	993834.9837303745	3231674.366835997	240839.53332428727
-328.1923072268655	1178521.7312491403	992585.8201540497	3237076.9868790577	232351.41836225725
-393.22542687205623	1177422.8248070998	990342.004705063	3248555.281321147	224453.3359732997
-458.25854651724694	1175213.5697570513	987441.0184194866	3258842.336014426	215353.0009094525
-523.2916661624377	1172821.5918885102	984233.0611631271	3271056.0298988568	203635.7760917991
-588.3247858076284	1169393.6169078045	980237.4187608631	3277703.356017275	193083.3050490733
-653.3579054528191	1165929.8981249777	976207.9313112776	3286815.4212768627	182653.9719532986
-718.3910250980098	1162461.2394802833	972418.8287896507	3296873.585904057	174292.14302495497
-783.4241447432005	1158896.6087283376	968205.4431050139	3311047.761252306	164826.05595643888
-848.4572643883912	1154502.8729849092	962363.0419387659	3315411.4570867224	153091.33406618616
-913.4903840335819	1149667.056518608	956672.8989280058	3321119.654917581	143072.45283795966
-978.5235036787726	1144578.7463427791	951899.9634873156	3328529.2958210874	133101.5133480711
-1043.5566233239633	1139997.9678763652	946236.856157345	3340117.65226437	125339.86121651735
-1108.589742969154	1134089.6525862059	939866.0542404095	3343413.7815106534	116447.57724040656
-1173.6228626143447	1128065.7863524752	932953.4948051467	3352565.6615499775	109744.47289499253
-1238.6559822595354	1121301.1537585845	925773.097754221	3350796.9764178465	101737.75068460962
-1303.6891019047262	1115151.9749980036	917891.1609099292	3362400.442797279	96220.97066628984
-1368.7222215499169	1108314.7031981414	910428.7159492028	3362429.9146878063	90977.39868348656
-1433.7553411951076	1101103.4517280317	902253.3338340562	3367236.414907191	85281.16377122435
-1498.7884608402983	1093879.4273367561	893634.1274562516	3371074.2392036845	81264.9230012406
-1563.821580485489	1086389.3777260636	884427.7982276492	3371416.255041185	76884.36917415902
-1628.8547001306797	1078557.6324251946	874160.1783664136	3373530.377017157	73196.09665486265
-1693.8878197758704	1071612.8774434675	863888.544143957	3377691.274970205	70007.81466921348
-1758.9209394210611	1063840.576474984	854151.8105944183	3380000.2316939505	66892.85659184429
-1823.9540590662518	1056136.8851524547	844295.0206975797	3379904.2955829147	64148.90164674844
-1888.9871787114425	1047831.0638762622	835184.7930617619	3378433.72633411	61637.32529404409
-1954.0202983566332	1039920.6819409578	825965.9224155905	3374922.9644839307	60205.241329463795
-2019.053418001824	1031493.6382492789	816134.3451648322	3371560.9492777144	57555.016476732366
-2084.0865376470147	1023470.2037362802	805167.8696965694	3375268.4250062928	55779.812439028596
-2149.1196572922054	1014849.7641159543	794273.714373473	3377691.274970205	53803.93486005062
-2214.152776937396	1006187.3076537086	783614.4960725437	3374991.7893463243	52224.56071845232
-2279.185896582587	998564.0575500815	773625.8959666494	3377792.2872378714	50371.074568096556
-2344.2190162277775	989721.9302809797	761987.0491047676	3377951.713965021	48227.74386017574
-2409.252135872968	980087.3284088172	749158.9811130582	3376663.415606551	46595.11975484512
-2474.285255518159	970936.6518527899	737981.8442412723	3369790.108138642	44790.35039986165
-2539.3183751633496	961594.2216945565	726505.4809580317	3362075.271607606	43264.85881804017
-2604.3514948085403	952145.8623474591	713478.7764936814	3356660.3737587803	41384.6275879323
-2669.384614453731	942597.2073468658	701175.8816816348	3352560.3185432605	40175.040574040184
-2734.4177340989218	933572.1378084148	688599.5453903587	3352560.3185432605	38771.981378634526
-2799.4508537441125	924162.8548029386	675759.6769045491	3348820.7056529406	37149.63824417819
-2864.483973389303	914724.2277324642	662381.1111431449	3339406.274692762	35884.49605363064
-2929.517093034494	905103.1176035951	649327.3020440417	3329133.0848099035	34722.2244964804
-2994.5502126796846	896474.2869298913	635595.0158139684	3328942.306886899	33183.12834607881
-3059.5833323248753	887839.9467036974	621867.0439404938	3328346.630239504	31733.881815256624
-3124.616451970066	878378.9344556042	609083.9519780577	3321299.959172809	30682.618477454726
-3189.6495716152567	869315.9127642707	595701.985087851	3317196.2383618453	29374.30557646683
-3254.6826912604474	860913.6249134688	581586.3350237152	3316758.9544027583	28105.128826702286
-3319.715810905638	852614.4660091469	568726.7276475255	3314233.0922609223	27115.743234314406
-3384.748930550829	843505.4147772548	554235.6082693468	3307841.827828882	26002.24140835438
-3449.7820501960196	834839.0158485553	540037.3711854037	3303138.4116066005	24685.91820333202
-3514.8151698412103	826328.7690358508	527721.4530801974	3299592.474931466	23652.011515285794
-3579.848289486401	817180.1696073569	513212.73524203815	3294519.301812538	22368.33789423631
-3644.8814091315917	808745.3731946165	499554.96502649965	3288829.8279084098	21470.961510686127
-3709.9145287767824	799766.5031207592	485185.1186834215	3278431.1178809954	20586.117172832786
-3774.947648421973	790912.4413644054	470569.36163588543	3272459.430931693	19716.698702513982
-3839.980768067164	782126.7377448289	456307.47095758986	3264426.7893465017	18934.896283198945
-3905.0138877123545	772989.8670727541	441953.48802213237	3249909.253699626	18002.314715904682
-3970.047007357545	764844.2580352679	428832.6175769492	3233885.8105526986	17049.99811629336
-4035.080127002736	756952.2345966189	415132.2322370115	3227163.354819338	16218.869855453726
-4100.113246647927	748541.2634521126	401610.5556879929	3220685.2376615843	15326.597653861103
-4165.146366293117	740021.5040250641	387962.28228032036	3211141.184698066	14367.584627309729
-4230.179485938308	731458.7176413989	375016.27290449926	3201646.8665919546	13620.614738051825
-4295.212605583499	723307.872683567	361985.60514763976	3190356.314785638	12757.936450442508
-4360.2457252286895	715114.1518752847	350185.6032229291	3183241.694868436	11939.979233761464
-4425.27884487388	707344.8852466721	338289.3840618409	3174854.6193734896	11391.878488221955
