	Bayesian Skyline: ref_25_rpoB_POK_combined.log			
Time	Mean	Median	Upper	Lower
2015.0	685693.6234006876	381447.3894070449	2956504.456694975	98489.96556707038
1886.9174942722464	430881.31360316323	211879.4617238672	2100916.4247157103	22929.24089910529
1758.8349885444927	190999.1449605281	110308.1751912508	867258.5875561574	28841.84506431059
1630.752482816739	356134.7346538288	284077.24157819996	1000855.8984981774	66095.75076818162
1502.6699770889854	622559.5050718217	561968.1782264394	1468731.7322875913	142558.1723919604
1374.5874713612318	810540.0669966467	732100.9639578855	1837359.0084776678	243175.49565141188
1246.5049656334782	928262.9703041431	830225.3935934283	2083071.2937148314	323870.04450390197
1118.4224599057245	1004600.1068175811	891572.4962102658	2283886.2000912684	366009.6207793267
990.3399541779709	1052120.419310823	926650.6874646996	2435111.757020091	382611.2783071391
862.2574484502172	1081596.029124527	945589.7034753868	2539978.452239987	389314.1921874096
734.1749427224636	1099752.9457956406	956972.282076149	2615145.939953417	392620.14251160616
606.0924369947099	1115927.8054428508	967027.9871763118	2673870.4090382615	397822.6160664836
478.0099312669563	1126732.0496055272	975246.5120211198	2710029.434975532	403302.87542149157
349.92742553920266	1136490.357738769	984417.5452685716	2722041.7054629126	409999.5010882025
221.844919811449	1145432.2413055468	993483.6270998495	2750878.181890362	409999.5010882025
93.76241408369532	1153827.0898124452	1001594.8467800971	2775081.8310598866	410811.4653456086
-34.32009164405835	1159314.6213667379	1008963.9843256805	2784356.391260836	405750.7814405058
-162.40259737181202	1164200.3871077194	1014271.0731859556	2790534.231029991	399306.2780910393
-290.48510309956566	1168535.8028276237	1019388.4824144648	2804785.5607381286	390062.1333367854
-418.5676088273193	1171644.350905935	1023951.8335493165	2815447.9661490032	382100.9124347567
-546.650114555073	1173328.5335386521	1026806.9940425179	2825156.4592626174	373049.5302499467
-674.7326202828266	1173849.9444791584	1028489.3287264606	2821129.086261966	361839.9830105739
-802.8151260105802	1173763.1091664364	1028988.5767397024	2817537.045651155	349560.67626175197
-930.8976317383339	1172481.944861531	1027585.0264432714	2828458.359783597	340217.1804608104
-1058.9801374660876	1169352.4812085214	1024447.1664936236	2836986.9971408434	330216.9572330902
-1187.0626431938413	1166140.7874060613	1021312.7888179612	2837945.5766786244	318033.0679431593
-1315.145148921595	1163922.3773238494	1016622.2941142715	2859053.297933344	308122.6841896051
-1443.2276546493486	1158987.8923844646	1012212.7957293662	2864124.7581681646	298113.63495531335
-1571.3101603771022	1155499.3740178405	1007099.1507692529	2881561.220850637	288282.7923775733
-1699.3926661048558	1150000.6937250919	999863.8539044039	2899369.834815596	278263.4930279628
-1827.4751718326095	1145575.7119157962	992154.9074050561	2918806.796936557	269648.48717489286
-1955.5576775603631	1138875.4915546211	983005.7208797917	2926263.3724848507	261617.63515310493
-2083.640183288117	1131620.7900708336	974031.518618015	2926263.3724848507	248923.40584853015
-2211.722689015871	1124493.822782631	965970.0295881269	2929919.751207266	240023.30346124875
-2339.8051947436247	1116992.6292581607	954844.3111123712	2955932.0793935903	231827.06039758897
-2467.8877004713786	1107532.326165867	945293.6713213435	2958987.0585606336	221279.82632389013
-2595.9702061991325	1099392.334592138	934158.980946992	2966200.5609707786	210063.20490537354
-2724.0527119268863	1090240.2175713668	922540.519709904	2977472.8035643194	201866.95424424094
-2852.13521765464	1081603.603981768	912335.4937378182	2977183.8238626206	194678.0386229601
-2980.217723382394	1071529.4679847825	898401.0886972472	2988480.2041817857	185314.61135296215
-3108.300229110148	1060693.3944648278	884214.9011052519	2983098.1384850843	177915.28652368352
-3236.382734837902	1049916.1873194496	871910.4068366671	2977891.4910421884	170214.8340035177
-3364.4652405656557	1039443.093786049	857346.5110062077	2979818.084562366	162671.859486038
-3492.5477462934095	1028466.7413623349	843845.8738142112	2969403.4999559764	155886.1413456751
-3620.6302520211634	1017167.0965016946	828981.8275678396	2969209.5152284685	149481.17422225745
-3748.7127577489173	1006256.8272493185	815782.2583069472	2961380.742351134	143648.8666492494
-3876.795263476671	995781.0831545906	800859.7340436981	2958283.133669904	138752.9422549351
-4004.877769204425	984296.4894800399	786556.3197424766	2947120.5203564283	134185.81587693805
-4132.960274932178	973460.6512889554	772353.8491319286	2937928.959942337	129990.73627217296
-4261.042780659932	960929.5164513914	756288.448684846	2928915.035516344	124148.81057981397
-4389.125286387685	950196.2539745753	742427.9660200138	2927857.4926716434	119533.77467364387
-4517.207792115439	938847.1183651511	727252.5509081198	2929841.0192311895	114559.21592849959
-4645.290297843192	927495.635311194	713368.6969237892	2927610.4450915307	111514.58773427574
-4773.3728035709455	914428.2485814637	697871.2617037308	2902999.089717533	107504.54403105284
-4901.455309298699	901739.4942555185	684239.4290929317	2893749.168518558	102994.52920979762
-5029.537815026452	889991.1794355274	668154.0330507371	2886915.50693526	97977.44192248753
-5157.620320754206	877750.2330341716	654236.8556160962	2878126.2314935843	93592.7005892167
-5285.702826481959	865637.9562890496	639483.0943103633	2857753.6573704025	90381.43513095178
-5413.785332209713	854756.4769551846	625967.1885710328	2850130.0734514473	86694.05420811147
-5541.867837937466	844567.9048911594	612326.7974250396	2843101.440216492	83166.80995807488
-5669.950343665219	833353.5221395529	599331.1203775908	2825777.934204665	80318.12674339041
