	Bayesian Skyline: ref_25_rpoB_PUL_combined.log			
Time	Mean	Median	Upper	Lower
2015.0	169923.01971179649	90614.25893397823	774842.5150494666	20801.905899513404
1990.453940112464	169923.01971179649	90614.25893397823	774842.5150494666	20801.905899513404
1965.9078802249278	162437.4270563896	85647.14346452651	751490.468170843	10165.593956968316
1941.3618203373917	115891.4206769557	47964.32427618949	604521.9899721992	4688.40765650743
1916.8157604498556	82166.64570959669	27422.26212893665	470933.72164626064	5672.406882826028
1892.2697005623195	59723.814390603846	24644.998481368173	336787.2857119675	5109.663754380083
1867.7236406747834	59722.985357462865	34608.2824521865	242588.7971592044	6298.807287053608
1843.1775807872473	84627.7776694342	59822.291226924215	289113.91428387724	9283.849459136913
1818.6315208997112	114239.55254182563	89338.34032617552	353056.1806100873	13744.836135054098
1794.085461012175	141506.30597332044	115753.46721191252	408966.3075518736	19680.270990317757
1769.539401124639	164712.8458446136	137347.52796514978	458996.50995035836	26985.534944742496
1744.9933412371029	184148.62739125048	155286.20822694924	499172.70582743245	35024.6112679791
1720.4472813495668	200984.41229787143	170712.57729739035	535303.7487988141	42836.99422944898
1695.9012214620307	215376.9493451772	183610.06497479297	564994.4880057527	50100.118901250426
1671.3551615744946	228100.0566062841	194878.95172308807	593270.0147256193	55879.766744412285
1646.8091016869585	240038.05223825653	205577.804737113	621613.6488522699	60990.59558756944
1622.2630417994224	250807.62722016065	215083.01199597426	646871.8114834027	64776.25673630312
1597.7169819118863	260543.9176866895	224079.3512894164	668717.1054086422	67475.86873243419
1573.1709220243501	269753.9408359756	232511.78870921786	690159.5584373281	69562.35546608463
1548.624862136814	278446.89425594424	239975.70552234226	712005.7630574072	70686.6232862549
1524.078802249278	286333.0987115244	247086.3109657177	731153.9253176845	71030.37535566496
1499.5327423617418	293721.3326229909	253888.69623523246	750115.6398056682	70159.87559133377
1474.9866824742057	300452.90747940505	259635.89909876088	767879.263453588	68696.33564203526
1450.4406225866696	307090.90984468535	265419.8685147198	786902.0479046248	66581.40676455939
1425.8945626991335	313116.7222536513	270854.8315218044	804970.8621233099	63571.21293582662
1401.3485028115974	318661.5061049441	275747.2279733382	824110.1996970681	60014.25496395635
1376.8024429240613	324062.01400666503	280404.35416358436	843495.6703580203	56012.75545278845
1352.2563830365252	328665.76996091695	284394.74280240096	858519.8309014961	52530.34138929866
1327.7103231489891	333154.3449551199	288298.14969664713	874021.7608567614	48891.7759521987
1303.164263261453	337021.73026242625	291409.0923769392	888093.7869941507	45648.14780697595
1278.618203373917	340631.4838336453	294414.8540716372	902664.6381032383	42527.12165644327
1254.0721434863808	344296.04296776175	297237.1638741934	920126.4563147788	39721.334606905366
1229.5260835988447	347430.14708955865	299700.95616098243	935275.9446326685	37557.6219502239
1204.9800237113086	350175.7550896842	301719.47486597335	951032.3165261768	35554.467635750865
1180.4339638237725	352877.0758893857	303773.6869307505	965771.9613600799	34515.138340344616
1155.8879039362364	355079.10729945527	305491.3106526092	978222.3801618598	32920.30160824851
1131.3418440487003	357010.10050802905	306957.8245302682	991407.9249692423	31334.377424947794
1106.7957841611642	358591.9356200187	308012.50374299823	1001195.991896977	30257.579480503537
1082.249724273628	360356.63621206465	309109.23017443484	1014450.6375646939	29392.993047772823
1057.703664386092	361482.4524994985	309888.79251300165	1024643.9109836308	28485.672676320326
1033.1576044985559	362538.35254464915	310296.8150911241	1035748.4482558902	27615.139668143493
1008.6115446110199	363375.80052893417	310777.6240281707	1046268.1601895158	26743.625819361754
984.0654847234839	364128.9817017447	310664.0240197876	1057083.379286697	26077.5708257006
959.5194248359479	364288.3119141518	310300.39909169194	1066063.6485406703	25577.187656786464
934.9733649484119	364427.3262968392	309958.4731998592	1072725.4549043304	25219.81100147771
910.4273050608759	364591.8610953776	309681.5600016479	1079998.5515466258	24610.89184021714
885.88124517334	364683.9666428425	308994.54386777646	1087633.6659230373	24052.32249596214
861.335185285804	364441.29449828714	307958.8136911741	1095849.916569678	23548.80089117098
836.789125398268	364189.1285823616	306935.9328987961	1102352.1694355786	23059.552739057814
812.243065510732	363802.1893899838	305507.52969703666	1108292.3737724598	22578.03077262634
787.697005623196	363051.8186384666	304181.2107505443	1113799.3584410066	22194.841870979988
763.15094573566	362511.0988513118	302909.854610393	1119820.4630016903	21842.948946772514
738.604885848124	361371.1995640576	301130.0602556914	1123526.7556027332	21551.1395246743
714.058825960588	360253.6416792655	298708.42741521436	1131478.3897951422	21048.044846078137
689.512766073052	359172.8371015676	296736.90743851766	1136326.0333308375	20664.989470445922
664.966706185516	357739.1398749279	294218.9071186752	1139027.0656000187	20368.087681409288
640.42064629798	356103.8942431465	291427.24589678965	1141708.287004868	20124.44755687038
615.8745864104441	354396.70440838416	288640.2949520759	1146304.60832006	19626.79215571755
591.3285265229081	353036.43053194403	285955.67627544503	1151740.6876610848	19308.408530245164
566.7824666353721	351255.6420332342	282649.5345315688	1156327.0169896784	19051.28575753313
542.2364067478361	349671.3308669262	279484.1906287112	1160497.8182757166	18848.888668608808
517.6903468603001	348038.87397455226	275964.28373173444	1164591.7845373028	18581.97218350597
493.1442869727641	346253.8342009733	272057.3957598682	1170150.2778497697	18210.3893971103
468.59822708522813	344434.63193779875	268465.0149667567	1171630.3996175614	17851.516507275195
444.05216719769214	342400.9855452802	264399.31525534246	1173060.231960065	17623.73530308546
419.50610731015615	340293.263719645	260028.6578897798	1175689.6346654478	17407.656078054948
394.96004742262016	338002.14755580056	255255.61349775447	1176035.8389922073	17191.95658367465
370.4139875350842	335998.3235866608	250734.27791039532	1177645.8446709702	16862.561992030172
345.8679276475482	333927.71348583355	246590.89885266294	1179872.09344756	16568.49718100728
321.3218677600122	331741.3249590109	241732.03457816204	1181752.4367072082	16177.624699760332
296.7758078724762	329755.4176853942	237347.19568707494	1184590.4071333548	15959.665849890407
272.2297479849402	327470.6568071425	232720.16019677086	1184659.4534276915	15573.22532920342
247.68368809740423	325389.2949330021	227922.03704851746	1185962.253830878	15378.206966716958
223.13762820986824	323004.98894233326	222820.9323172151	1185380.3716739577	15146.315946843302
198.59156832233225	320920.94266566425	217983.54296705348	1186894.1864680827	14807.366057435242
174.04550843479626	318617.4960890513	213073.06935960572	1186165.3745874388	14616.100974632007
