	Bayesian Skyline: ref_25_rpoB_VUO_combined.log			
Time	Mean	Median	Upper	Lower
2014.0	679231.8382886655	459871.81992803223	2433086.754332999	94668.32263522159
1976.124124561923	679231.8382886655	459871.81992803223	2433086.754332999	94668.32263522159
1938.248249123846	657398.4092214478	471461.2481274026	2256662.355006547	105980.26213051738
1900.3723736857692	664524.0402732223	494364.29300150805	2185430.2006817325	120088.95490515893
1862.4964982476922	711187.5501346084	558612.1613714099	2172813.2576550376	152147.27612712063
1824.6206228096153	768417.742127278	623505.3640285585	2217329.420757846	183814.4122773427
1786.7447473715383	822593.1514763216	679290.8425404283	2281653.78141052	212422.48757613185
1748.8688719334614	868974.9414893885	724393.3085334252	2358654.5364169707	237693.80189618503
1710.9929964953844	910981.6161256806	763615.1428441815	2431748.7319296566	259834.2720134106
1673.1171210573075	949290.950089296	798228.2876437892	2509134.352370734	278217.65350959287
1635.2412456192305	984572.9475099605	828579.4095245167	2581415.207365246	293018.7319188263
1597.3653701811536	1016373.9048585364	856408.0636985846	2663485.5807923563	306662.67449754954
1559.4894947430766	1045331.1113662086	880396.7271470289	2737591.648918451	318095.5932792868
1521.6136193049997	1072561.970258487	903757.1671873861	2804585.652047309	327133.53017680364
1483.7377438669228	1098576.7484441798	926069.4505808474	2884414.005771974	333191.0678600125
1445.8618684288458	1120840.7783259377	943668.9172689739	2958527.9066328784	333861.6408294597
1407.9859929907689	1141493.035112462	960626.0039213133	3015228.0334509965	331509.7027206861
1370.110117552692	1157929.6794744022	973126.7397271483	3065932.1863899003	323108.44512708345
1332.234242114615	1171491.1408206928	984219.0821648663	3111084.5654850933	303961.3490292558
1294.358366676538	1183928.624574324	994880.9425915098	3171098.663434111	275393.2004951679
1256.482491238461	1192153.0724365772	1003658.1069687575	3213038.86787354	233744.2221896152
1218.6066158003841	1198937.2825351593	1008991.4600400093	3261400.450721862	182140.32699520307
1180.7307403623072	1202752.5658565182	1012805.0834703619	3314754.4302372895	139441.6863417647
1142.8548649242302	1204750.9534899332	1015231.3800621503	3348954.8264291654	114700.34918256491
1104.9789894861533	1203547.8227331203	1015774.4444139817	3383528.651357395	95692.14380596223
1067.1031140480763	1201070.750802607	1013561.8235537024	3416878.712696346	82969.63886301442
1029.2272386099994	1196893.9295339922	1010793.7382925733	3451263.570955665	73918.18398781118
991.3513631719226	1189741.0107281832	1007117.4251652097	3473903.7300639404	68162.51465188754
953.4754877338457	1181067.3425054161	999485.6442180288	3497968.0546994098	64008.81180171414
915.5996122957689	1172224.3946241315	991029.5796318733	3523349.9267111295	59776.2473908951
877.7237368576921	1161340.9878293416	980798.3540449216	3551372.29042529	56825.913442700104
839.8478614196152	1149936.661688918	968323.6627171196	3572375.6729452107	54694.949855722196
801.9719859815384	1135727.9263078962	953869.8380430911	3602774.7072813665	52643.50300005693
764.0961105434616	1120749.43461832	937696.1313582972	3616909.7758721267	51152.937366700695
726.2202351053847	1104633.3105759812	918817.599728046	3628059.428558224	50288.78465064184
688.3443596673079	1087515.944308087	896190.6116384676	3640990.7148395944	49203.31321070749
650.4684842292311	1069930.3026532815	868588.1499666767	3652640.46566921	47316.71828980107
612.5926087911542	1053424.6712000633	841322.8836631355	3666430.297128065	46593.22880399199
574.7167333530774	1035952.8089626759	808451.4106891189	3680696.9910837268	45444.763357990625
536.8408579150006	1018168.0129932263	774774.9696161941	3693044.750699222	44369.187414919004
498.96498247692375	1000338.4085972568	736356.7202378225	3703247.6035596426	43715.22308425978
461.0891070388469	982469.6072671629	694846.5306267359	3718800.9017878706	43113.43365328518
423.2132316007701	963916.4157721385	645556.4144880739	3727178.970440367	42364.61887546508
385.33735616269325	943933.9099626729	585332.953833971	3728969.3943156456	41607.968268526085
347.4614807246164	925935.4416755168	525670.7883221206	3733710.0412207646	40987.28642977407
309.5856052865396	906288.7821193752	466180.68464584666	3725123.1244290285	40152.03207860584
271.70972984846276	887963.8542330074	411737.73467194376	3721228.5138608236	39589.43226244463
233.8338544103859	868946.8357566623	368120.41782937676	3706821.57868496	38772.46117028075
195.95797897230904	850041.2870441083	332491.60918693186	3697940.555217413	37911.87103275322
158.08210353423217	830750.6097487604	302533.194495033	3681344.620819557	37423.02440158777
120.20622809615531	812721.248378897	278505.06106368365	3669660.4715652983	36387.57955958774
82.33035265807845	795169.1900637673	262357.981370837	3661064.7295148526	35430.325909306375
44.4544772200016	777790.3472372913	248766.92915571094	3653287.5674955146	34537.90435635617
6.578601781924746	759933.6561275461	236013.81562110293	3647179.8032952114	33764.727526483555
-31.297273656152107	743163.4064301886	225158.85760330613	3635622.0388176744	32780.53009582585
-69.17314909422896	727087.0503966084	216375.66219491314	3625510.01000959	32154.78189743422
-107.04902453230582	711033.8726795256	209763.84031070585	3616156.3871693	31411.120758899502
-144.92489997038268	696378.8913936617	204453.67278569916	3606349.567312989	30466.662655839515
-182.80077540845954	680473.3468037866	199097.63029921055	3588368.8887811787	29479.914759888867
-220.6766508465364	665240.2021553199	194571.13412498595	3571661.975016341	28323.69415984877
-258.55252628461324	650777.0673506248	190629.09468878948	3550607.8339018594	27386.314966247217
-296.42840172269007	635942.6554908119	186887.03584583942	3525156.253653815	26243.651285563363
-334.3042771607669	623461.3041503072	184355.9754166326	3510991.7033660524	25074.308149199347
-372.18015259884373	610530.0268698946	181691.12423877176	3496984.0982936923	24046.54423713034
-410.05602803692057	596342.3252292243	179228.89648780716	3479954.9320132094	23142.330030768797
-447.9319034749974	583449.1106630611	176958.96300550288	3458240.9656713167	22163.386555251946
-485.80777891307423	571853.8623176191	174587.79473342377	3444658.2930143257	21056.295419990936
-523.6836543511511	558783.6526595626	172554.3507026241	3425289.7583635133	20061.428225997835
-561.5595297892279	547002.114459972	170698.46982982077	3401951.3797565834	19260.033504886498
-599.4354052273047	535740.1366156366	168804.38615342407	3380959.5456566713	18117.70800252859
-637.3112806653816	524366.436190866	166845.1730843454	3360857.6540961247	17367.462686908417
-675.1871561034584	513995.8617279057	164992.34349584923	3340217.516523496	16506.464664279374
-713.0630315415352	504011.0082888698	163413.65532324527	3313798.046260243	15657.349946637962
-750.938906979612	493117.8426057758	162387.9325510789	3272403.555812243	14778.15678845974
-788.8147824176889	483236.9863138047	160588.77444630628	3241902.3792111436	13863.1777493527
-826.6906578557657	475066.89017752826	159434.6776839926	3221058.748862848	12926.409136212402
-864.5665332938426	465299.9305243445	158048.13988854864	3197513.2621406643	11937.703346906092
-902.4424087319194	456727.05520396325	156772.25541469193	3180970.728768216	11065.01149178778
-940.3182841699962	447687.94636171113	155621.57969207637	3159898.6365684797	10068.858644385678
-978.194159608073	439186.1812226721	154421.09779026452	3134612.6825376814	9171.658353832096
-1016.0700350461499	431149.1964683974	153248.7357040703	3110973.6149574304	8404.312695694156
-1053.9459104842267	423213.68958832	151463.7352960265	3082924.3300264273	7587.194010964636
-1091.8217859223037	415097.64773377014	150140.26431188738	3058606.4089704165	6758.594493258261
-1129.6976613603806	407643.12438774714	148868.74400776534	3028408.9663164583	5806.927249525838
-1167.5735367984576	399434.2130507722	147340.21858877377	3001490.890365608	5044.9727260777945
-1205.4494122365345	392129.91881452134	145624.33156660112	2976895.2276529167	4424.356440100455
-1243.3252876746114	384626.3828299113	144440.17161174657	2933869.9156321357	3820.577676535354
-1281.2011631126884	377408.2444644206	142910.096303943	2888982.355816345	3305.061006858504
-1319.0770385507653	371003.36423242773	141760.45398868227	2856663.508353528	2857.7051028673
-1356.9529139888423	364513.09698160354	140380.3646421169	2817854.033606454	2518.3501967890365
-1394.8287894269192	358344.7034922888	138958.00237335937	2781560.775824401	2250.04087390819
-1432.7046648649962	351760.88276064774	137446.1277282951	2749748.9107186245	2035.5249727897065
-1470.5805403030731	346050.4722970404	135950.18439395892	2711448.2650989555	1898.7906966101782
-1508.45641574115	339215.89694519504	134553.9625804129	2675411.4381872914	1723.4438845074424
-1546.332291179227	332682.7818545897	133039.09061713217	2629638.0738560907	1558.2577683592247
-1584.208166617304	327562.1092892095	131672.94848258022	2598509.618366867	1433.643286196006
-1622.084042055381	321407.77462882135	130231.60683632482	2563950.433747881	1343.7368522714537
-1659.9599174934579	315727.2818030261	128861.36527788849	2527198.47925978	1248.100901116165
-1697.8357929315348	310789.46301038016	127195.42715366991	2488988.6160513693	1196.9526097581677
-1735.7116683696117	NaN	NaN	NaN	NaN
